Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	244	2.76e-30	29.6	6.38	-26.4	-95.4	-14.7	-33.2	-83.2	-5.25	1.11e+03	-50.4	-75.9	7.6	565
17	106	7.58e-17	16.1	6.22	25.8	-95	-3.69	32.7	-87.9	-1.43	1.83e+03	29.1	-94.9	-3.59	672
16	46	3.94e-09	8.4	4.19	-46	-43.6	60.4	-35.3	-49.4	62.4	1.78e+03	-46	-43.6	60.4	766
15	35	2.38e-07	6.62	6.13	12.5	-101	7.01	12.7	-100	2.81	1e+03	9.44	-98	-3.37	634
14	33	4.77e-07	6.32	4.79	31.9	-48.6	-35.1	31.7	-49.3	-32.1	686	31.9	-48.6	-35.1	435
13	29	2.21e-06	5.66	4.4	-59.1	-33.6	52.5	-49.5	-33.6	44.9	1.12e+03	-49	-36.2	44.1	594
12	20	0.000102	3.99	4.6	-46.6	-13.4	56.8	-46.6	-14.5	58.9	1.31e+03	-46.6	-16.3	57.6	775
11	16	0.000679	3.17	4.72	-5.84	-18	2.58	-11	-17.5	7.05	797	-5.79	-20.9	3.37	538
10	13	0.00312	2.51	3.95	-45.6	4.59	-4.88	-43.6	3.97	-4.64	1.09e+03	-45.6	7.47	-5.67	723
9	12	0.00532	2.27	4.09	-37.5	50.2	20.7	-35.1	51	19.1	805	-37.5	50.2	20.7	545
8	10	0.0161	1.79	4.61	44.4	-66.2	7.94	43.6	-64.1	7.34	876	44.4	-66.2	7.94	648
7	10	0.0161	1.79	3.61	-62	-18.9	20	-57.1	-22.3	14	1.3e+03	-58.4	-21.6	11.4	868
6	10	0.0161	1.79	4.46	35.8	19.7	3	35.4	19.4	3.1	895	35.8	19.7	3	658
5	10	0.0161	1.79	5.07	-65.5	-23.4	35.3	-65.2	-24.6	34.1	1.17e+03	-65.5	-23.4	35.3	718
4	10	0.0161	1.79	3.67	29.8	-51.2	55.4	32.1	-53.1	54.6	1.07e+03	36.5	-56.9	57.2	698
3	9	0.0288	1.54	3.74	-0.966	-85.4	7.03	-1.72	-82.6	7.28	1.1e+03	-1.02	-82.5	6.24	829
2	9	0.0288	1.54	4.68	7.37	-23.6	4.54	8.61	-20.7	7.35	1.03e+03	7.18	-19.4	8.09	732
1	9	0.0288	1.54	4.19	-15.4	-67.4	44.2	-15.5	-67.6	45.2	2.48e+03	-15.5	-71.8	50.1	920
