Cluster Index	Z	x	y	z	
6	5.31	-26.4	-95.4	-14.7
6	5.1	-41	-64.4	14.2
6	5.05	-33.4	-91.4	-1.82
6	4.83	-26.9	-92.8	3.51
6	4.81	-20.8	-93	22.7
6	4.64	-13.4	-104	-2.44
5	5.24	45.3	-78.9	-12.2
5	5.09	35.6	-90.5	-9.34
5	4.97	25.8	-95	-3.69
5	4.19	41.6	-74.8	0.733
5	4.04	31.9	-83.5	2.82
5	3.97	31.8	-89.4	13.9
4	5.66	12.5	-101	7.01
4	4.67	15.7	-95.2	5.52
4	4.33	9.39	-95.2	-4.16
4	4.16	12.9	-107	-0.899
3	3.85	-43.4	-56.7	-30.6
3	3.7	-40.2	-49.4	-37.2
3	3.52	-49.9	-59.7	-30
2	4.4	-46.6	-16.3	57.6
1	3.6	-55.2	-21.5	11.5
1	3.51	-62	-18.9	20
