Cluster Index	Z	x	y	z	
18	6.38	23	6	11
18	5.87	21	6	14
18	5.72	25	4	13
18	5.43	27	2	13
18	5.17	20	7	12
18	5.07	16	12	15
17	6.22	39	5	13
17	6.08	42	7	12
17	5.8	45	11	12
17	5.08	40	5	15
17	4.54	41	6	17
17	4.46	41	8	15
16	4.19	18	15	30
16	4.18	25	11	30
16	4.01	21	13	30
16	3.82	22	11	29
16	3.77	17	18	31
15	6.13	35	2	15
15	5.26	36	4	15
15	4.88	35	1	13
15	4.69	35	4	13
14	4.79	41	23	9
14	4.48	40	21	11
14	3.58	43	24	11
13	4.4	14	19	29
13	3.85	17	20	27
13	3.8	20	19	27
13	3.72	16	23	27
13	3.44	21	21	25
13	3.37	15	17	29
12	4.6	18	25	31
12	4.17	17	27	31
11	4.72	30	29	19
11	4.26	28	27	21
11	4.17	28	30	21
10	3.95	18	37	19
10	3.46	20	36	19
9	4.09	21	49	27
8	5.07	12	24	26
7	4.61	45	13	17
6	4.46	43	41	21
5	3.67	41	13	28
5	3.56	43	11	28
5	3.5	41	11	27
4	3.61	13	27	23
4	3.55	15	27	21
4	3.39	17	26	21
3	4.68	34	27	19
3	3.45	36	29	21
2	4.19	27	9	25
1	3.74	31	7	16
