Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
23	128	2.87e-19	18.5	5.53	25	4	13	21.6	6.77	14.3	547	23	6	11	310
22	50	1.01e-09	9	5.56	39	5	13	40.3	5.61	13	957	40	5	13	425
21	41	2.29e-08	7.64	4.7	14	19	29	19.2	17.9	26.8	638	17	19	27	356
20	33	4.77e-07	6.32	4.83	41	23	8	41.5	22.2	9.66	494	45	19	10	266
19	27	4.95e-06	5.31	4.21	22	11	31	21.3	12.4	29.9	994	18	15	30	509
18	26	7.45e-06	5.13	5.18	18	17	4	18.7	20.4	4.39	367	18	17	4	250
17	23	2.69e-05	4.57	4.97	35	2	15	35.2	2.47	14.3	462	34	1	15	319
16	20	0.000102	3.99	4.32	44	17	27	46.2	19	27.4	411	46	18	28	309
15	18	0.000259	3.59	3.86	50	34	29	49.3	34.7	27.6	669	50	36	27	425
14	17	0.000418	3.38	4.44	27	9	25	26.6	9.07	24.8	1.45e+03	27	7	26	452
13	16	0.000679	3.17	4.67	45	11	12	44.5	11.2	13.1	630	45	11	12	334
12	15	0.00112	2.95	4.44	40	31	33	41.7	31.6	31.3	775	43	31	32	330
11	15	0.00112	2.95	3.77	18	37	19	18.7	38.9	19.6	653	18	38	19	449
10	15	0.00112	2.95	3.83	16	18	10	17.3	18.3	9.87	414	17	17	10	302
9	14	0.00186	2.73	4.8	44	47	29	43.8	47	28.2	545	44	48	28	311
8	12	0.00532	2.27	4.11	35	31	35	35.2	30.9	34.7	1.42e+03	34	29	35	644
7	12	0.00532	2.27	4.59	39	16	4	38.2	16.3	3.67	349	38	16	3	241
6	11	0.00919	2.04	4.74	43	41	21	43	41	21	560	43	41	21	417
5	11	0.00919	2.04	4.07	41	7	23	40.5	8.79	23	417	40	10	23	281
4	10	0.0161	1.79	4.27	42	13	28	41.5	13.4	27.6	660	42	13	28	397
3	9	0.0288	1.54	4.6	34	27	19	34.4	27.6	19.8	618	34	28	20	433
2	9	0.0288	1.54	4.71	41	24	6	41.4	25	6.39	357	41	25	6	292
1	9	0.0288	1.54	4.64	40	51	19	40.5	50.7	18.5	412	40	51	19	328
