Cluster Index	Z	x	y	z	
18	6.38	-26.4	-95.4	-14.7
18	5.87	-33.4	-91.4	-1.82
18	5.72	-20	-98.4	-4.21
18	5.43	-13.4	-104	-2.44
18	5.17	-36.4	-91.3	-11.4
18	5.07	-50.2	-72.9	-2.68
17	6.22	25.8	-95	-3.69
17	6.08	35.6	-90.5	-9.34
17	5.8	45.3	-78.9	-12.2
17	5.08	28.8	-92.2	5.1
17	4.54	31.7	-86.5	13.1
17	4.46	31.9	-83.5	2.82
16	4.19	-46	-43.6	60.4
16	4.18	-22.8	-54.8	64.2
16	4.01	-36	-49.2	62.2
16	3.82	-32.5	-56.3	59.6
16	3.77	-49.5	-33.6	62.3
15	6.13	12.5	-101	7.01
15	5.26	15.7	-95.2	5.52
15	4.88	12.9	-107	-0.899
15	4.69	12.7	-98	-3.27
14	4.79	31.9	-48.6	-35.1
14	4.48	28.5	-51.7	-25
14	3.58	38.1	-42.9	-27
13	4.4	-59.1	-33.6	52.5
13	3.85	-49.1	-33.3	43.3
13	3.8	-39.2	-36.1	44.3
13	3.72	-52.5	-24.7	40.8
13	3.44	-35.7	-33.1	34.2
13	3.37	-55.7	-39.3	54.2
12	4.6	-46.6	-13.4	56.8
12	4.17	-50	-7.69	55.1
11	4.72	-5.84	-18	2.58
11	4.26	-12.6	-21.1	12.7
11	4.17	-12.7	-12.4	10.3
10	3.95	-45.6	4.59	-4.88
10	3.46	-39	1.78	-3.9
9	4.09	-37.5	50.2	20.7
8	4.61	44.4	-66.2	7.94
7	3.61	-62	-18.9	20
7	3.55	-55.2	-21.5	11.5
7	3.39	-48.6	-24.3	12.4
6	4.46	35.8	19.7	3
5	5.07	-65.5	-23.4	35.3
4	3.67	29.8	-51.2	55.4
4	3.56	36.5	-56.9	57.2
4	3.5	30	-58.4	52.6
3	3.74	-0.966	-85.4	7.03
2	4.68	7.37	-23.6	4.54
2	3.45	13.5	-15	11.8
1	4.19	-15.4	-67.4	44.2
