Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1945	1.86e-23	22.7	7.73	-20	-98	-4	-32.4	-86	-2.82	872	-22	-90	12	425
15	1461	3.12e-19	18.5	7.95	26	-94	-4	31.1	-87.3	-1.77	1.66e+03	26	-96	-8	480
14	760	3.91e-12	11.4	5.84	-30	-40	42	-44.7	-34.5	41.4	883	-48	-36	44	418
13	226	6.32e-05	4.2	4.83	-42	-10	4	-41	3.38	1.41	765	-48	8	-6	425
12	212	0.00011	3.96	4.92	-48	-16	58	-43.2	-16	61.8	1.01e+03	-48	-16	58	545
11	204	0.000152	3.82	6.08	-8	-18	2	-9.5	-19.5	6.28	775	-6	-22	4	425
10	182	0.000379	3.42	4.62	-40	-46	62	-36.6	-49.3	60.6	1.15e+03	-46	-44	60	538
9	164	0.000823	3.08	5.23	30	-52	52	25.6	-56.3	52.9	725	18	-62	54	447
8	164	0.000823	3.08	4.6	28	-50	-26	31.1	-49.4	-30.7	438	44	-46	-26	309
7	134	0.00319	2.5	6.12	-16	-66	44	-18.2	-67.4	42.3	885	-14	-70	48	464
6	126	0.00466	2.33	4.94	58	-20	34	52.6	-24.1	38.9	679	60	-18	32	420
5	120	0.00621	2.21	4.06	-8	-78	10	-3.06	-80.2	6.86	820	-4	-86	2	582
4	116	0.00755	2.12	5.77	8	22	30	2.39	26.7	29.2	740	2	34	30	474
3	113	0.00875	2.06	5.87	-4	10	52	-3.31	7.39	52.5	852	-4	10	52	464
2	111	0.00966	2.02	4.61	-40	-58	-30	-40.7	-55.1	-32.1	682	-46	-60	-26	343
1	98	0.0186	1.73	4.64	8	-20	8	9.82	-17.7	6.53	858	8	-18	8	498
