Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	2318	1.79e-26	25.7	9.08	-38	-30	52	-40.9	-31.8	45.1	1.18e+03	-36	-20	68	466
12	1590	2.13e-20	19.7	8.65	48	-74	-2	40.3	-60.9	-17.5	961	42	-50	-30	430
11	1223	5.51e-17	16.3	9.27	-40	-86	-2	-41.4	-73.4	-9.08	1.11e+03	-40	-86	-2	431
10	759	4.02e-12	11.4	6.51	44	-38	46	41.8	-38.4	41.7	905	34	-54	52	420
9	463	1.78e-08	7.75	6.89	38	-74	18	34.5	-72.1	23.4	907	40	-74	18	402
8	306	3.22e-06	5.49	8.1	-30	-80	16	-28.5	-79	19.4	1.05e+03	-30	-80	16	451
7	254	2.15e-05	4.67	5.86	-58	2	34	-56.5	1.24	31.8	802	-58	4	34	481
6	231	5.2e-05	4.28	7.04	-6	-18	54	-4.59	-17	57.7	736	0	-14	68	422
5	143	0.00211	2.68	4.55	32	20	2	33	20.5	-1.75	468	34	26	-2	334
4	133	0.00335	2.48	4.68	-8	8	46	-4.1	2.51	47.3	538	0	-4	46	385
3	97	0.0196	1.71	7.03	-20	-96	-8	-20.6	-96.2	-8.08	557	-20	-96	-8	353
2	89	0.0298	1.53	4.7	20	-90	0	22.4	-91.1	-1.91	462	24	-92	-8	309
1	86	0.0349	1.46	4.2	-12	-72	46	-15	-70.4	46.6	636	-12	-74	46	447
