Cluster Index	Z	x	y	z	
16	7.73	-20	-98	-4
16	7.18	-14	-104	-2
16	6.82	-24	-90	12
16	6.64	-26	-96	-14
16	6.6	-36	-90	-8
16	5.74	-44	-78	-10
15	7.95	26	-94	-4
15	7.47	12	-102	8
15	7.15	42	-72	0
15	7.07	36	-90	-8
15	6.24	28	-92	4
15	6.22	12	-96	-4
14	5.84	-30	-40	42
14	5.57	-66	-24	34
14	5.31	-42	-36	44
14	5.3	-56	-34	52
14	5.25	-48	-34	44
14	4.8	-40	-34	38
13	4.83	-42	-10	4
13	4.32	-36	0	6
13	4.08	-52	8	-6
13	3.85	-38	16	2
13	3.76	-36	8	4
13	3.22	-36	-2	14
12	4.92	-48	-16	58
12	4.77	-48	-10	56
12	4.52	-50	-4	54
12	4.39	-38	-18	68
12	4.28	-42	-18	64
12	4.27	-38	-20	64
11	6.08	-8	-18	2
11	5.6	-6	-22	4
11	4.6	-12	-22	10
11	4.5	-12	-12	10
11	3.84	-6	-18	12
10	4.62	-40	-46	62
10	4.24	-46	-42	60
10	4.13	-30	-54	64
10	3.87	-42	-42	56
10	3.68	-26	-60	62
10	3.42	-22	-54	64
9	5.23	30	-52	52
9	4.83	18	-64	54
9	4.81	16	-58	52
9	4.6	30	-60	54
8	4.6	28	-50	-26
8	4.56	30	-52	-34
8	4.54	32	-50	-30
8	3.73	36	-44	-28
8	3.54	36	-54	-38
8	3.34	44	-46	-26
7	6.12	-16	-66	44
7	4.13	-24	-70	36
6	4.94	58	-20	34
6	4.27	50	-26	44
6	3.88	46	-28	40
6	3.72	46	-26	36
5	4.06	-8	-78	10
5	3.87	-4	-86	2
5	3.46	4	-72	10
4	5.77	8	22	30
4	4.53	-8	26	28
4	3.66	0	32	30
3	5.87	-4	10	52
3	5.67	-4	2	54
3	3.37	0	18	50
3	3.29	2	22	48
2	4.61	-40	-58	-30
2	4.23	-46	-60	-30
2	3.83	-40	-50	-38
2	3.35	-46	-54	-36
2	3.21	-46	-62	-26
2	3.16	-40	-44	-40
1	4.64	8	-20	8
1	3.57	14	-16	12
