Cluster Index	Z	x	y	z	
13	9.08	-38	-30	52
13	6.87	-58	-24	38
13	6.76	-44	-22	48
13	6.76	-30	-46	36
13	6.55	-30	-10	50
13	6.5	-44	-40	44
12	8.65	48	-74	-2
12	7.34	44	-62	-6
12	7.01	40	-50	-30
12	6.95	48	-68	-24
12	6.08	52	-64	-16
12	5.98	46	-64	-16
11	9.27	-40	-86	-2
11	7.42	-46	-76	-16
11	6.98	-46	-68	-12
11	6.28	-40	-74	-10
11	5.52	-40	-70	2
11	5.33	-32	-50	-24
10	6.51	44	-38	46
10	6.09	52	-24	34
10	6.07	34	-54	52
10	5.86	44	-34	36
10	4.58	28	-50	40
10	4.51	48	-30	40
9	6.89	38	-74	18
9	6	34	-64	24
9	5.77	30	-80	20
9	5.53	30	-60	28
9	4.25	34	-74	28
9	4.01	32	-68	36
8	8.1	-30	-80	16
8	5.84	-26	-70	24
8	4.88	-24	-78	26
7	5.86	-58	2	34
7	4.88	-58	2	26
7	4.07	-46	0	36
6	7.04	-6	-18	54
6	5.13	-2	-14	68
6	3.69	-4	-28	52
5	4.55	32	20	2
5	4.24	32	18	-4
5	3.96	34	18	-10
4	4.68	-8	8	46
4	4.36	0	-4	46
3	7.03	-20	-96	-8
2	4.7	20	-90	0
2	4.53	24	-92	-6
1	4.2	-12	-72	46
1	4.19	-18	-68	48
