Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	5858	0	51	7.05	-42	-42	48	-37.1	-16	23.8	693	-44	-20	64	246
12	3734	4.09e-38	37.4	8.86	-46	-80	2	-33.9	-73.3	1.58	583	-42	-88	4	254
11	2533	3.19e-29	28.5	6.97	42	-90	0	36.1	-76.8	12.9	531	14	-70	48	249
10	2416	2.74e-28	27.6	5.69	4	8	46	17.9	4.88	36.5	584	58	12	-2	242
9	1434	1.02e-19	19	6.75	64	-26	14	57.1	-27	30.4	440	42	-40	48	247
8	837	1.67e-13	12.8	4.8	34	-64	-18	25.8	-57.6	-19.7	324	14	-50	0	211
7	667	1.76e-11	10.8	5.2	16	-74	-42	15.5	-69.8	-44.3	391	2	-80	-38	200
6	394	5.96e-08	7.22	5.22	26	-58	10	15.8	-65.2	11.8	367	6	-74	20	263
5	184	0.000237	3.63	4.95	-16	-74	-48	-15.6	-74.5	-50.2	309	-6	-76	-52	213
4	157	0.000795	3.1	4.03	34	50	18	33.6	53.4	19.9	449	40	58	12	291
3	151	0.00105	2.98	4.75	-32	56	22	-36.6	45.1	16.2	391	-32	56	22	233
2	115	0.00607	2.22	5.09	2	-34	-46	0.491	-32.4	-45.4	259	0	-34	-46	192
1	95	0.0173	1.76	4.27	14	-32	36	11.6	-29.2	42	258	10	-30	46	198
