Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	8767	0	67.3	8.61	36	-4	64	27.1	-9.89	34.6	989	36	-6	66	242
12	8238	0	64.5	10.6	-28	-98	-4	-35.9	-53.9	19.7	950	-42	-80	-20	257
11	3651	1.56e-37	36.8	10.3	46	-72	-12	22.6	-67.2	-18.2	837	38	-78	-20	244
10	1221	1.27e-17	16.9	6.89	-14	-8	12	-24.3	-7.71	1.84	706	-10	-8	12	197
9	1192	2.5e-17	16.6	7.85	34	-62	52	30.4	-72.4	37.4	779	38	-62	52	274
8	461	8.83e-09	8.05	6.08	14	-66	4	1.33	-72.4	6.88	465	0	-68	4	231
7	295	2.74e-06	5.56	8.56	-50	-26	20	-53.1	-25.9	18.7	479	-50	-26	20	243
6	268	7.57e-06	5.12	6.02	32	-30	74	29.4	-31.2	62	451	32	-30	74	213
5	268	7.57e-06	5.12	6	-56	-62	8	-56.8	-55.7	8.46	403	-64	-46	12	234
4	165	0.000551	3.26	4.56	44	42	24	42.9	41.3	21.6	239	38	48	30	183
3	101	0.0126	1.9	4.6	-12	-34	-8	-12.1	-32.8	-8.96	500	-12	-38	-6	268
2	87	0.0268	1.57	5.51	-46	-46	22	-48	-47.5	22.6	346	-50	-50	22	221
1	85	0.03	1.52	4.95	4	22	30	7.96	18.3	32.4	298	4	22	30	210
