Cluster Index	Z	x	y	z	
12	7.62	-46	-44	60
12	7.44	-50	-40	58
12	6.26	-58	-26	44
12	5.69	-56	-26	54
12	5.68	-46	-32	42
12	5.1	-58	-22	38
11	5.83	-24	-88	-26
11	5.61	-50	-78	-16
11	5.2	-44	-70	-20
11	5.18	-40	-72	-24
11	5.01	-40	-60	-26
11	4.8	-8	-88	-20
10	5.55	44	-76	-14
10	4.76	36	-92	-6
10	4.61	38	-88	-18
10	4.51	40	-82	-2
10	4.5	20	-90	-12
10	4.47	26	-84	-16
9	5.43	-48	0	6
9	5.42	-60	6	12
9	4.84	-52	2	30
9	4.73	-56	6	28
9	4.39	-52	4	18
8	5.21	32	-58	-18
8	4.95	38	-56	-24
8	4.66	38	-48	-20
7	4.97	-32	-86	14
7	4.97	-32	-90	14
7	4.78	-28	-96	8
6	4.84	30	-72	24
6	4.45	20	-86	28
6	3.82	28	-80	20
5	5.18	32	-60	60
4	4.78	-28	-8	72
4	4.63	-36	-6	66
4	3.7	-40	-4	60
4	3.43	-32	-14	70
3	4.81	-6	-10	56
3	4.09	6	-4	56
2	4.93	-44	-80	4
2	4.6	-40	-90	-2
2	3.81	-34	-94	-4
1	4.43	50	-64	0
1	4	44	-72	4
