Cluster Index	Z	x	y	z	
13	7.05	-42	-42	48
13	6.77	-56	2	34
13	6.57	-38	-32	34
13	6.36	-56	4	2
13	6.14	-34	16	6
13	5.97	-12	-18	4
12	8.86	-46	-80	2
12	6.63	-44	-66	-12
12	6.45	-36	-88	4
12	6.15	-18	-88	-6
12	6.11	-24	-80	28
12	5.96	-40	-64	12
11	6.97	42	-90	0
11	6.91	44	-60	-12
11	6.78	38	-86	8
11	6.57	48	-80	4
11	6.39	50	-76	0
11	6.37	38	-92	12
10	5.69	4	8	46
10	5.62	-2	14	32
10	5.58	40	12	-4
10	5.44	0	4	48
10	5.39	4	14	36
10	5.23	42	6	30
9	6.75	64	-26	14
9	6.06	40	-40	48
9	5.38	60	-38	24
9	5.36	52	-14	38
9	5.35	52	-20	32
9	5.02	66	-20	20
8	4.8	34	-64	-18
8	4.71	24	-50	-20
8	4.56	20	-54	-20
8	4.52	34	-60	-22
8	4.43	50	-52	-32
8	4.41	20	-62	-10
7	5.2	16	-74	-42
7	5.09	18	-72	-46
7	4.64	16	-64	-52
7	4.16	34	-52	-52
7	3.97	-2	-74	-38
7	3.79	4	-74	-36
6	5.22	26	-58	10
6	4.99	26	-50	0
6	4.18	20	-68	10
6	4.11	4	-72	18
6	3.74	12	-64	10
6	3.42	-2	-78	18
5	4.95	-16	-74	-48
5	4.1	-6	-78	-48
4	4.03	34	50	18
4	3.9	30	60	24
4	3.62	44	56	12
4	3.41	40	58	12
3	4.75	-32	56	22
3	4.14	-34	36	10
3	4.12	-42	46	18
2	5.09	2	-34	-46
2	3.43	8	-28	-44
2	3.3	4	-24	-46
2	3.25	0	-24	-46
2	3.22	12	-30	-36
1	4.27	14	-32	36
1	3.74	14	-28	46
1	3.51	8	-26	44
