Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	4525	1.91e-43	42.7	5.67	10	-16	4	2.62	-0.617	-1.65	534	0	-14	8	202
15	4084	1.63e-40	39.8	7.24	46	-82	-4	36.7	-67.1	6.54	459	64	-44	8	209
14	1828	2.45e-23	22.6	6.41	-38	-58	-10	-36.6	-75.9	-5.6	402	-46	-76	-2	213
13	1105	1.97e-16	15.7	5.91	-26	-8	46	-36.7	-14.6	51.6	455	-18	-28	78	207
12	1025	1.39e-15	14.9	6.41	-30	-58	48	-30.1	-57.2	43.1	478	-42	-60	56	206
11	934	1.36e-14	13.9	5.71	2	16	60	2.46	21.4	41.8	401	-2	24	34	207
10	714	4.69e-12	11.3	6.18	48	16	36	43.2	8.54	29.6	459	50	16	36	239
9	453	1.14e-08	7.94	5.3	6	-40	22	1.85	-31.7	24.5	426	0	-32	24	238
8	324	9.54e-07	6.02	4.95	30	-6	50	30.2	-0.979	51.3	365	44	6	58	179
7	281	4.59e-06	5.34	5.79	48	-34	52	48	-38.5	50	342	48	-34	56	216
6	150	0.0011	2.96	4.51	4	-36	46	5.68	-36.1	45.2	257	6	-38	50	197
5	143	0.00153	2.82	4.21	-60	-28	32	-59.9	-29.1	39.7	266	-56	-32	52	189
4	98	0.0147	1.83	4.08	24	-60	4	16.6	-66.1	4.78	371	24	-62	4	259
3	93	0.0193	1.71	4.55	-8	38	18	-6.76	36.7	20.2	335	-2	34	22	202
2	84	0.0317	1.5	4.59	28	50	14	28.3	50.1	14.4	254	28	50	14	192
1	81	0.0375	1.43	4.23	-38	-44	-38	-38.1	-43.9	-31.5	299	-38	-42	-42	197
