Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	4329	3.73e-42	41.4	8.51	42	-82	-12	36.3	-63.9	20.1	963	24	-74	56	265
7	2236	8.05e-27	26.1	8.1	-58	-22	44	-38.3	-30.3	55	625	-40	-8	62	250
6	2064	2.22e-25	24.7	8.39	-38	-92	-4	-33.6	-83.5	5.45	662	-38	-92	-4	254
5	630	5.09e-11	10.3	7.68	8	-8	56	1.18	-0.45	52.3	406	2	6	54	240
4	183	0.000247	3.61	5.85	66	-10	14	64.8	-18.4	16.7	488	66	-14	16	266
3	172	0.000402	3.4	5.85	36	0	66	30.8	-2.76	57.4	517	34	0	66	225
2	92	0.0204	1.69	5.14	-26	-64	-8	-25.6	-62.8	-5.37	329	-26	-64	-2	236
1	86	0.0284	1.55	5.7	-52	-18	12	-53.7	-17.7	10.6	365	-52	-18	12	232
