Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	1021	1.53e-15	14.8	6.96	-40	-26	68	-45	-25.5	59.5	1.05e+03	-30	-28	72	317
13	916	2.15e-14	13.7	6.69	40	-76	-10	43.6	-66.2	-8.58	600	22	-82	-12	255
12	501	2.48e-09	8.61	6.4	-54	-70	2	-44.8	-77.3	-5.12	546	-54	-70	2	260
11	245	1.87e-05	4.73	5.57	56	-4	46	56.5	-13.6	39.2	381	56	-4	46	226
10	154	0.000913	3.04	5.59	-40	-2	10	-39.2	0.546	9.4	469	-40	-2	10	251
9	136	0.00214	2.67	5.04	-34	-42	38	-35.3	-43.3	39.8	293	-36	-42	38	215
8	132	0.0026	2.59	5.23	14	4	34	11.8	7.16	35.9	308	12	10	34	215
7	122	0.00426	2.37	5.53	-62	-46	22	-61.3	-47.9	21	392	-66	-46	16	257
6	112	0.00707	2.15	5.33	64	-4	18	63.4	-2.69	22.2	333	64	-4	18	202
5	99	0.014	1.85	4.71	-4	-2	52	-2.69	-1.59	51	384	-4	-2	52	254
4	88	0.0254	1.6	5.57	68	-44	18	65.4	-44.5	20	437	66	-44	18	268
3	88	0.0254	1.6	5.04	52	-26	-8	52.7	-26.5	-7.77	297	52	-26	-8	214
2	80	0.0397	1.4	4.86	-26	-98	8	-23.7	-96.2	4.55	287	-22	-94	-2	208
1	77	0.0471	1.33	4.58	48	-48	6	48	-46	8.98	254	48	-46	10	190
