Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	1549	8.34e-21	20.1	7.29	-56	-34	54	-40.9	-28.5	59.4	873	-34	-40	66	271
16	1160	5.31e-17	16.3	6.24	52	-66	-4	39.7	-59.7	-15	544	38	-52	-22	221
15	1153	6.27e-17	16.2	6.45	-54	-76	-2	-44.5	-72.5	3.39	444	-30	-82	-18	201
14	462	8.55e-09	8.07	6.3	22	-100	8	34.3	-90.6	7.61	340	38	-90	6	200
13	322	1.01e-06	5.99	4.64	24	-76	-24	13.4	-74	-17.6	431	20	-76	-16	214
12	283	4.29e-06	5.37	6.16	44	-28	38	47	-28.9	39.2	379	44	-28	38	217
11	259	1.08e-05	4.97	5.75	24	-68	58	15.8	-67.5	57.7	750	10	-70	58	370
10	220	5.14e-05	4.29	5.05	32	-52	36	34.1	-50.7	42.7	418	40	-52	54	208
9	207	8.83e-05	4.05	5.32	-30	-52	-14	-32.8	-51.7	-18.1	344	-34	-54	-20	198
8	189	0.00019	3.72	5.46	50	-28	-6	52.1	-29.9	-0.831	363	54	-26	-2	201
7	180	0.000282	3.55	6.26	-28	-76	26	-28	-77.9	27.9	423	-28	-76	26	235
6	135	0.00225	2.65	4.7	38	-54	-54	35	-50.5	-51.8	272	34	-46	-52	174
5	121	0.00448	2.35	5.83	-26	-70	56	-27.6	-66	55.2	550	-26	-70	56	281
4	100	0.0133	1.88	4.56	10	44	-16	14.3	43.7	-19.1	291	18	44	-24	174
3	96	0.0164	1.78	5.31	40	20	-20	29.4	21.9	-18.1	488	40	20	-20	233
2	87	0.0268	1.57	5.34	58	14	36	53.7	8.05	39.8	505	54	4	44	272
1	78	0.0445	1.35	4.13	24	-66	40	21.2	-64.8	43.4	294	18	-66	48	196
