Cluster Index	Z	x	y	z	
9	7.61	-36	-32	52
9	5.53	-46	-24	48
9	5.24	-30	-48	36
9	5.08	-44	-40	44
9	4.87	-26	-38	44
9	4.6	-48	-38	52
8	7.28	48	-74	-2
8	5.94	46	-64	-6
8	5.89	40	-50	-30
8	5.47	50	-66	-24
8	5.37	34	-46	-32
8	4.92	52	-68	-14
7	7.5	-40	-86	-2
7	6.05	-46	-76	-16
7	5.62	-44	-66	-10
7	5.01	-40	-70	2
7	4.8	-46	-72	2
7	4.45	-54	-64	10
6	4.8	52	-24	34
6	4.58	34	-54	52
6	4.42	44	-38	46
6	4.14	42	-34	36
5	6.75	-30	-80	16
5	4.35	-26	-70	24
5	3.27	-24	-80	28
4	5.29	38	-74	18
4	4.63	30	-80	18
4	4.24	34	-64	24
4	3.87	30	-60	28
3	6.46	-6	-18	54
3	4.18	-2	-14	68
2	5.62	-58	-24	38
2	3.56	-60	-20	46
1	4.11	-60	0	34
1	3.94	-58	2	24
1	3.91	-60	2	28
