Cluster Index	Z	x	y	z	
19	9.33	-60	-24	30
19	9.21	-38	-16	68
19	8.58	-52	-34	58
19	7.49	-62	-28	46
19	7.47	-14	-56	64
19	7.4	-66	-26	36
18	6.71	58	-42	20
18	5.97	38	-34	38
18	5.9	64	-42	20
18	5.89	36	-48	44
18	5.51	46	-40	52
18	5.47	52	-34	62
17	6.5	-6	2	40
17	6.17	0	-6	44
17	6.16	2	-36	26
17	5.92	0	-10	60
17	5.84	-6	-12	52
17	5.8	0	-6	38
16	8.16	-36	-88	-6
16	8.13	-36	-90	-10
16	7.46	-36	-88	-20
16	7.25	-34	-92	-16
16	6.61	-48	-72	-22
16	6.6	-46	-76	-20
15	8.9	36	-92	-2
15	7.04	34	-82	22
15	6.16	34	-72	28
15	6.16	30	-64	26
15	5.76	18	-70	38
15	5.59	28	-98	-10
14	6.55	-44	-6	2
14	6.49	-8	-18	6
14	5.26	-40	6	-2
14	5.13	-40	2	-4
14	4.62	-16	-28	8
14	4.62	-34	2	0
13	6.03	36	-4	10
13	5.93	58	6	22
13	5.88	58	6	0
13	5.66	8	-16	4
13	5.25	36	6	0
13	5.17	48	2	16
12	6.87	52	-64	-20
12	5.87	32	-48	-24
12	5.87	46	-72	-18
12	4.42	48	-54	-32
12	4.26	50	-48	-12
12	4.2	46	-78	-8
11	7.12	30	-6	52
11	5.04	22	4	70
11	4.05	34	2	64
11	3.6	26	8	54
11	3.39	26	4	48
10	6.14	-60	0	34
10	5.25	-44	-2	34
10	5.1	-58	2	24
10	4.42	-40	0	24
10	3.61	-52	-4	40
10	3.41	-46	2	26
9	5.04	30	44	22
9	4.57	30	38	24
9	4.35	30	28	26
9	4.05	28	48	36
9	3.94	30	42	32
8	4.29	0	-76	16
8	3.92	14	-66	4
8	3.79	-12	-74	12
8	3.75	0	-80	2
8	3.59	-12	-76	16
8	3.49	4	-66	8
7	4.4	16	-78	-22
7	4.39	16	-74	-24
7	4.07	22	-66	-18
6	4.25	-14	-72	-46
6	3.65	-20	-66	-38
6	3.5	-20	-70	-34
6	3.5	-22	-72	-52
5	4.51	-28	-78	36
5	4.05	-24	-68	30
5	3.58	-28	-74	24
4	4.73	-24	-54	-52
3	4.59	-30	-80	14
3	3.42	-42	-80	16
3	3.38	-36	-84	20
3	3.27	-42	-86	24
2	5.06	-30	22	4
2	4.06	-30	20	-4
2	3.83	-34	30	-4
1	4.37	-14	-78	-24
1	3.27	-8	-78	-32
1	3.11	0	-76	-26
