Cluster Index	Z	x	y	z	
16	9.03	-36	-22	64
16	8.64	-24	-60	56
16	8.46	-36	-32	38
16	8.45	-44	-22	66
16	8.27	-36	-24	60
16	8.16	-56	-28	36
15	9.07	50	-70	-10
15	7.69	32	-90	-4
15	7.46	44	-70	-16
15	7.33	44	-72	-20
15	7.03	44	-78	-18
15	7.02	40	-78	-18
14	6.54	-4	2	44
14	6.42	-2	-4	60
14	6.32	-2	4	48
14	6.22	8	24	28
14	6.17	-4	-4	46
14	5.58	-6	-12	52
13	5.57	10	2	4
13	5.55	-52	14	-4
13	5.5	-30	14	10
13	5.45	-12	-16	4
13	5.27	14	6	2
13	4.96	-6	-10	12
12	5.86	24	-64	-60
12	5.34	24	-68	-52
12	5.07	26	-56	-56
12	5.03	16	-72	-50
12	4.64	14	-66	-56
12	4.59	12	-62	-54
11	6.93	-46	-50	2
11	6.52	-46	-52	8
11	6.06	-52	-46	22
11	4.74	-52	-58	10
11	4.51	-46	-42	16
11	3.78	-52	-44	2
10	6.38	-58	4	22
10	5.4	-58	-4	34
10	5.12	-60	2	10
10	5.01	-62	0	28
10	4.63	-52	-4	24
10	4.39	-54	-2	0
9	6.11	36	-2	60
9	4.9	38	0	44
9	4.27	28	12	66
9	3.85	36	8	42
8	5.35	10	-34	24
8	5	10	-28	26
8	4.75	-6	-44	22
8	4.64	-8	-32	24
8	3.73	0	-28	28
8	3.18	0	-26	36
7	5.76	38	-4	10
7	4.93	52	16	-4
7	4.66	50	16	-10
7	4.11	48	2	-6
7	3.93	38	6	2
7	3.73	42	-2	0
6	5.97	54	2	4
6	4.52	56	6	18
6	4.05	60	8	-2
6	3.6	44	6	22
5	5.25	-42	-8	6
5	4.51	-36	-8	12
5	4.43	-42	0	-2
5	4.34	-32	-6	-4
5	4.29	-36	-6	0
4	4.61	-44	32	24
4	4.48	-52	30	18
3	4.24	36	48	20
3	3.59	42	42	18
3	3.5	38	50	12
3	3.49	42	46	6
3	3.45	38	42	2
3	3.32	38	54	14
2	4.82	-24	-60	-54
2	4.57	-26	-66	-56
2	3.58	-30	-74	-56
1	5.14	-32	44	26
