Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	4911	0	45.2	9.33	-60	-24	30	-41.2	-34.1	50.7	1.26e+03	-38	-16	68	293
18	3034	4.5e-33	32.3	6.71	58	-42	20	46.5	-38.9	41.8	925	52	-34	62	266
17	2354	8.7e-28	27.1	6.5	-6	2	40	-1.67	-9.06	44.7	745	-10	-10	80	279
16	2158	3.58e-26	25.4	8.16	-36	-88	-6	-38.5	-71.9	-15.7	908	-46	-76	-20	298
15	1651	9.53e-22	21	8.9	36	-92	-2	30.3	-83.6	14.6	1.07e+03	36	-92	-6	288
14	1380	3.38e-19	18.5	6.55	-44	-6	2	-29.3	-7.53	1.05	467	-48	12	-10	208
13	1334	9.51e-19	18	6.03	36	-4	10	39.2	-0.615	6.5	609	58	6	0	236
12	837	1.67e-13	12.8	6.87	52	-64	-20	44.8	-59.9	-19.8	608	54	-64	-22	266
11	522	1.29e-09	8.89	7.12	30	-6	52	28.5	-2.94	56.1	568	28	-6	50	277
10	371	1.79e-07	6.75	6.14	-60	0	34	-50.7	0.0961	30.3	405	-58	-2	34	229
9	229	3.55e-05	4.45	5.04	30	44	22	29.4	40.5	27.6	386	30	44	22	243
8	210	7.78e-05	4.11	4.29	0	-76	16	1.77	-73.5	9.48	424	-2	-74	12	290
7	121	0.00448	2.35	4.4	16	-78	-22	19.5	-70.8	-19.6	254	20	-66	-16	201
6	89	0.024	1.62	4.25	-14	-72	-46	-17	-71.4	-45.2	211	-14	-72	-46	174
5	84	0.0317	1.5	4.51	-28	-78	36	-27.4	-73.2	31.8	282	-28	-78	36	204
4	81	0.0375	1.43	4.73	-24	-54	-52	-24.7	-54.2	-50.8	278	-24	-54	-50	207
3	79	0.042	1.38	4.59	-30	-80	14	-32.8	-81.3	14.9	292	-30	-80	14	202
2	77	0.0471	1.33	5.06	-30	22	4	-29.5	24.9	0.913	312	-30	24	4	214
1	76	0.0499	1.3	4.37	-14	-78	-24	-10.8	-76.8	-23.9	234	-14	-80	-22	180
