Cluster Index	Z	x	y	z	
18	10.1	-32	-92	-10
18	10.1	-46	-82	-2
18	9.92	-44	-78	-8
18	9.58	-40	-90	0
18	9.09	32	-56	-18
18	8.92	6	-98	2
17	6.73	-20	8	-2
17	6.51	-30	26	0
17	5.97	-50	4	-6
17	5.52	-30	-6	-4
17	5.19	-50	14	-12
17	5.12	-46	18	-8
16	6.04	-6	10	48
16	4.87	10	8	34
16	4.87	4	10	40
16	4.71	-2	12	38
16	4.44	8	24	30
16	4.19	8	18	42
15	6.65	-62	-20	20
15	5.94	-50	-28	12
15	5.2	-56	-22	10
15	3.89	-64	-22	6
15	3.75	-64	-26	32
15	3.19	-38	-28	12
14	6.95	-50	-52	12
14	6.23	-60	-42	30
14	4.25	-62	-48	12
14	4.12	-62	-54	18
14	4.04	-46	-38	26
14	3.59	-66	-48	22
13	5.93	44	6	34
13	5.29	38	6	60
13	5.16	42	4	26
13	5.08	50	10	38
13	4.31	48	6	54
13	4.27	42	14	22
12	6.09	26	4	-6
12	6.06	20	4	-12
12	3.67	24	-2	10
12	3.62	22	2	14
12	3.45	24	8	8
12	3.21	26	-8	10
11	6.54	-10	-22	0
11	3.93	-14	-32	2
11	3.86	-30	-20	4
11	3.34	-26	-28	6
10	5.38	-36	0	26
10	5.17	-56	8	18
10	5.14	-58	8	14
10	4.11	-56	0	16
10	3.93	-40	8	24
10	3.82	-60	12	8
9	5.02	-30	56	22
9	4.9	-26	60	26
8	4.47	50	-36	28
8	4.39	64	-34	38
8	3.54	64	-40	48
7	5.41	40	16	0
7	5.3	36	20	4
7	5.04	34	26	-2
7	3.73	32	30	-12
6	5.31	20	-60	-2
6	4.49	16	-66	10
6	3.83	14	-52	-2
5	7.1	-6	0	76
5	3.73	-2	-12	80
4	5.72	54	-46	14
3	3.99	2	-74	-40
3	3.88	6	-76	-44
3	3.72	-8	-76	-34
2	4.62	-2	-8	54
2	4.04	-4	-18	50
1	4.55	-14	-66	-26
1	3.35	-24	-56	-28
