Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	2558	2.02e-29	28.7	7.31	-20	-98	8	-20.5	-82.9	-3.42	590	-30	-84	30	233
17	1193	2.44e-17	16.6	6.87	0	-6	60	0.894	2.26	54.1	753	-10	-6	74	321
16	1173	3.91e-17	16.4	7.6	32	-90	24	34.7	-66.9	34	702	38	-44	38	284
15	805	3.92e-13	12.4	7.84	36	28	0	43.4	18.6	-0.647	744	36	28	0	298
14	738	2.41e-12	11.6	6.91	56	14	28	52.4	16.9	28.7	720	56	26	26	318
13	394	5.96e-08	7.22	6.85	-38	16	6	-37.5	17.4	-0.433	514	-38	16	6	264
12	326	8.94e-07	6.05	5.77	-58	-28	32	-56.7	-32.2	26.7	426	-60	-26	30	238
11	312	1.43e-06	5.84	5.81	52	-42	20	59.2	-38.4	19.1	538	64	-38	24	268
10	276	5.6e-06	5.25	5.15	-36	-66	54	-29.5	-69.3	47.7	486	-34	-68	56	287
9	275	5.78e-06	5.24	5.96	-38	-42	50	-40.9	-40.5	43.3	450	-38	-42	50	272
8	224	4.36e-05	4.36	4.63	34	-44	-34	27.7	-48	-30.9	244	36	-44	-34	182
7	160	0.000692	3.16	7.41	-60	0	40	-57.6	-0.224	38.6	764	-60	0	40	311
6	156	0.000832	3.08	5.51	-26	-8	56	-27.9	-9.11	53.2	393	-30	-10	56	243
5	131	0.00273	2.56	4.92	-42	-26	66	-40.4	-24.9	64	627	-42	-26	66	295
4	109	0.00826	2.08	5.5	56	-68	6	51.5	-67.9	3.86	322	54	-70	2	221
3	103	0.0113	1.95	4.85	24	-58	-56	22.7	-63.1	-53.8	246	16	-72	-56	187
2	86	0.0284	1.55	5.58	38	-92	-4	38.5	-90.1	-4.88	397	40	-92	-4	226
1	78	0.0445	1.35	4.49	46	-2	48	42.1	-4.83	52.5	350	40	-8	66	244
