Cluster Index	Z	x	y	z	
8	8.51	42	-82	-12
8	8.1	10	-92	-6
8	7.96	16	-90	-8
8	7.67	38	-88	16
8	7.61	30	-94	4
8	7.05	24	-68	42
7	8.1	-58	-22	44
7	7.68	-38	-20	46
7	7	-44	-14	50
7	6.82	-32	-38	50
7	6.45	-28	-58	64
7	6.39	-38	-24	54
6	8.39	-38	-92	-4
6	7.74	-30	-94	2
6	7.36	-28	-80	20
6	6.84	-32	-86	18
6	6.51	-52	-70	-14
6	6.3	-48	-82	-8
5	7.68	8	-8	56
5	7.47	-6	-4	44
5	6.95	2	0	52
5	5.48	6	8	52
5	5.07	-6	10	48
5	4.07	2	-12	64
4	5.85	66	-10	14
4	5.78	66	-14	16
4	5.27	68	-24	16
4	4.13	54	-20	20
3	5.85	36	0	66
3	4.66	24	-2	52
3	4.25	30	-2	56
2	5.14	-26	-64	-8
2	5.11	-26	-64	-4
1	5.7	-52	-18	12
