Cluster Index	Z	x	y	z	
13	8.61	36	-4	64
13	8.5	2	2	58
13	8.3	2	-2	60
13	8.27	48	-58	2
13	7.92	52	8	32
13	7.71	-4	-12	58
12	10.6	-28	-98	-4
12	9.87	-42	-78	-2
12	9.24	-46	-76	-12
12	9.08	-28	-78	18
12	8.94	-46	-66	-12
12	8.2	-42	-84	-4
11	10.3	46	-72	-12
11	8.35	32	-90	-12
11	8.18	38	-62	-16
11	7.89	34	-78	-20
11	7.43	36	-52	-26
11	7.24	38	-80	-18
10	6.89	-14	-8	12
10	6.15	-38	-6	12
10	5.98	-10	-14	0
10	5.76	-30	-18	4
10	5.34	-32	-18	-8
10	5.31	-12	0	0
9	7.85	34	-62	52
9	6.21	30	-74	22
9	6.15	20	-86	46
9	6.06	34	-94	6
9	5.65	36	-90	4
9	5.48	42	-92	0
8	6.08	14	-66	4
8	5.58	-10	-72	6
8	4.93	-8	-80	0
8	4.85	24	-64	4
8	4.6	18	-80	24
8	4.07	4	-70	6
7	8.56	-50	-26	20
7	5.83	-48	-32	12
7	5.21	-66	-20	22
7	4.97	-64	-16	24
7	3.5	-66	-10	18
6	6.02	32	-30	74
6	5.74	28	-32	60
6	5.55	26	-32	56
6	5	32	-30	66
5	6	-56	-62	8
5	5.79	-50	-60	2
5	5.01	-62	-46	12
5	3.95	-64	-48	-2
5	3.53	-64	-44	2
5	3.39	-48	-54	10
4	4.56	44	42	24
4	4.42	46	38	16
4	3.93	48	36	26
4	3.74	34	46	22
4	3.4	38	46	28
3	4.6	-12	-34	-8
3	4.18	-12	-26	-14
3	3.39	-6	-26	-10
3	3.32	-14	-18	-10
2	5.51	-46	-46	22
1	4.95	4	22	30
1	4.85	12	16	34
