Cluster Index	Z	x	y	z	
14	6.96	-40	-26	68
14	6.16	-46	-36	66
14	5.88	-52	-18	56
14	5.85	-32	-28	72
14	5.24	-46	-24	62
14	5.12	-20	-26	78
13	6.69	40	-76	-10
13	6.18	46	-50	-22
13	5.79	34	-50	-20
13	5.61	50	-72	-8
13	5.26	52	-68	6
13	5.2	30	-88	-6
12	6.4	-54	-70	2
12	5.49	-46	-76	-6
12	5.17	-42	-78	-2
12	4.76	-42	-88	-6
12	4.63	-38	-80	-12
12	4.47	-38	-88	-16
11	5.57	56	-4	46
11	4.75	60	-24	26
11	4.74	58	-20	32
11	4.62	50	-8	56
11	4.1	60	-14	46
11	4.06	66	-30	18
10	5.59	-40	-2	10
10	3.55	-48	6	6
9	5.04	-34	-42	38
8	5.23	14	4	34
8	4.83	12	12	34
7	5.53	-62	-46	22
6	5.33	64	-4	18
6	4.53	64	0	28
6	3.28	58	2	14
5	4.71	-4	-2	52
5	3.5	6	-8	52
4	5.57	68	-44	18
4	3.7	60	-46	26
3	5.04	52	-26	-8
3	4.57	52	-24	-12
2	4.86	-26	-98	8
2	4.56	-22	-94	0
1	4.58	48	-48	6
1	4.33	52	-50	6
1	4.26	46	-44	12
