Cluster Index	Z	x	y	z	
8	8.79	-40	-74	-16
8	7.64	-38	-94	-12
8	7.53	-30	-98	-4
8	6.99	-22	-96	-10
8	6.9	-34	-100	-10
8	6.54	-28	-94	10
7	6.72	16	-92	-14
7	6.58	22	-90	-14
7	6.31	18	-90	-8
7	6.13	26	-90	6
7	6.01	26	-100	-2
7	5.99	26	-58	-20
6	4.98	-38	-34	40
6	4.74	-32	-26	46
6	4.64	-44	-34	48
6	4.55	-56	-30	48
6	4.12	-38	-30	52
6	3.95	-38	-30	56
5	5.18	32	-80	18
5	4.51	32	-70	26
4	5.67	40	-60	42
4	3.89	38	-70	48
4	3.84	34	-52	46
4	3.7	30	-58	48
4	3.35	22	-62	42
4	3.32	40	-48	42
3	5.1	-28	-10	70
3	4.57	-34	-14	68
3	3.6	-32	-24	72
2	5.02	-24	-86	28
1	5.82	-32	-62	52
