Cluster Index	Z	x	y	z	
17	7.4	26	-92	-2
17	6.37	38	-88	-10
17	5.37	22	-48	-24
17	5.2	10	-102	-2
17	5.17	38	-80	-18
17	5.08	32	-52	-20
16	6.04	-32	-50	-20
16	5.46	-28	-62	-14
16	4.33	-38	-60	-10
16	4.07	-46	-50	-16
16	3.96	-40	-44	-28
16	3.8	-22	-42	-28
15	5.31	10	-76	20
15	4.72	2	-74	10
15	4.21	-14	-66	6
15	4.15	-10	-66	6
15	4.09	2	-68	8
15	3.97	-18	-70	4
14	6.01	-24	-98	2
14	5.75	-24	-96	-8
14	4.94	-12	-88	-18
14	4.7	-28	-90	10
14	4.56	-8	-102	-2
14	4.32	-8	-98	-8
13	5.4	6	6	48
13	4.72	-6	10	46
13	4.13	-4	0	44
13	4.12	4	14	36
13	4.12	0	10	40
13	4.03	6	8	34
12	5.82	-36	-88	-12
12	4.81	-24	-82	-22
12	4.72	-24	-86	-22
12	4.42	-30	-90	-18
12	4	-28	-72	-20
12	4	-38	-82	-20
11	4.74	-10	-20	6
11	4.7	-10	-18	0
11	4.64	-10	-18	-14
11	4.3	-8	-18	-6
11	4.05	-16	-28	0
11	3.84	-6	-28	-22
10	5.08	56	6	40
10	4.96	44	-2	54
10	4.38	36	-2	44
10	4.12	52	12	34
9	5.37	12	-18	8
9	3.55	4	-10	24
8	4.28	22	6	-2
8	4.18	28	10	-4
8	4.02	30	24	0
8	3.96	22	4	-6
8	3.67	30	16	-2
8	3.65	22	-4	6
7	4.28	-50	-24	56
7	4.22	-44	-28	48
7	3.75	-46	-28	60
7	3.56	-34	-30	50
7	3.46	-42	-30	42
6	4.31	32	-60	58
6	3.93	30	-56	54
5	4.6	-22	2	0
5	3.32	-16	4	6
4	4.43	-34	-20	56
4	4.31	-38	-16	68
4	3.84	-38	-22	60
4	3.67	-28	-16	74
3	4.62	-6	-80	2
3	4.01	-2	-76	0
3	3.45	-2	-80	-6
2	4.56	-36	-4	48
2	4.49	-38	-2	52
1	5.54	32	-80	22
