Cluster Index	Z	x	y	z	
13	8.23	-38	-80	-18
13	7.97	-32	-94	-6
13	6.68	-16	-90	-12
13	6.66	-18	-90	-8
13	6.62	-36	-66	-24
13	6.41	-20	-56	-18
12	8.58	44	-70	-4
12	7.81	42	-84	-2
12	6.84	20	-52	-18
12	6.73	40	-60	-24
12	6.09	16	-94	2
12	5.8	56	-64	-16
11	8.32	-30	-60	66
11	7.27	-34	-8	66
11	7.22	-56	-24	48
11	7.2	-56	-22	52
11	6.67	-30	-20	72
11	6.5	-44	-50	60
10	6.89	2	6	30
10	6.11	-6	12	28
10	5.81	2	6	56
10	5.72	8	0	34
10	5.64	-2	-2	54
10	5.53	2	-8	32
9	5.07	38	0	60
9	4.99	54	20	42
9	4.96	40	12	30
9	4.93	44	2	56
9	4.92	34	2	64
9	4.92	52	8	36
8	6.23	38	-56	62
8	5.26	22	-60	52
8	4.71	16	-64	54
8	4.35	28	-60	52
8	4.3	42	-40	44
8	4.23	40	-46	52
7	6.61	-62	-16	12
7	5.85	-54	-18	14
7	5.06	-58	-32	14
7	4.6	-66	-18	24
7	4.02	-48	-26	12
7	4	-52	-28	14
6	6.63	30	-78	46
6	5.06	28	-78	24
6	4.88	32	-72	26
6	4.67	34	-60	38
6	4.56	30	-68	36
6	3.23	38	-54	40
5	5.46	8	-38	52
5	3.57	2	-54	64
4	6.18	50	20	-10
4	4.91	44	22	-6
4	3.65	60	18	-4
3	4.32	-40	-10	-10
3	4.03	-36	-6	-2
3	3.91	-36	-10	-4
3	3.79	-32	-20	0
3	3.68	-36	-20	-4
3	3.41	-32	-24	-2
2	5.46	-58	10	6
2	4.42	-58	6	12
1	4.4	58	-26	54
1	4.02	58	-34	52
1	3.99	54	-26	48
