Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	12292	0	84.7	9.03	-36	-22	64	-15.1	-47.9	29.7	1.25e+03	-36	-22	66	280
15	3846	6.85e-39	38.2	9.07	50	-70	-10	33	-70.1	-16.4	1.1e+03	44	-78	-18	264
14	2118	7.75e-26	25.1	6.54	-4	2	44	-0.516	6.87	43.7	894	12	18	64	316
13	1108	1.84e-16	15.7	5.57	10	2	4	-8.18	1.06	2.51	644	-52	14	-6	228
12	560	4.04e-10	9.39	5.86	24	-64	-60	20.4	-64.3	-53.8	290	6	-68	-50	187
11	505	2.19e-09	8.66	6.93	-46	-50	2	-50.3	-48.3	11.7	427	-58	-46	18	240
10	450	1.26e-08	7.9	6.38	-58	4	22	-57.5	1.57	21	365	-56	6	22	210
9	442	1.63e-08	7.79	6.11	36	-2	60	35.7	0.345	55.8	838	38	4	58	301
8	265	8.52e-06	5.07	5.35	10	-34	24	0.0864	-32.7	24.5	410	-2	-44	22	222
7	235	2.79e-05	4.55	5.76	38	-4	10	44.2	7.03	-1.04	573	50	16	-10	267
6	223	4.54e-05	4.34	5.97	54	2	4	55.2	4.6	9.16	415	56	4	4	238
5	181	0.00027	3.57	5.25	-42	-8	6	-38.8	-6.06	2.78	298	-42	-8	6	195
4	137	0.00204	2.69	4.61	-44	32	24	-47.7	29.9	23	293	-50	26	26	222
3	127	0.00332	2.48	4.24	36	48	20	36.8	45.5	18.5	304	38	48	20	217
2	110	0.00784	2.11	4.82	-24	-60	-54	-25.4	-63.4	-55.6	227	-24	-60	-54	171
1	92	0.0204	1.69	5.14	-32	44	26	-32.7	43.9	26.8	313	-32	44	26	220
