Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	7892	0	62.6	9.28	44	-56	-6	40	-57.2	6.83	852	54	-68	-10	248
19	7120	0	58.4	8.06	-48	-74	-6	-41.7	-51.1	17.6	745	-52	-72	-8	259
18	2380	5.35e-28	27.3	6.25	-12	-16	2	-24.7	-4.19	1.01	643	-8	-36	-4	224
17	2307	2.1e-27	26.7	7.22	6	22	38	-0.091	7.56	40	829	6	22	38	254
16	2123	7.04e-26	25.2	7.51	12	-14	6	28.4	5.57	0.583	957	60	10	-6	270
15	1434	1.02e-19	19	6.92	34	12	62	38.8	9.35	47.3	869	34	12	62	259
14	735	2.62e-12	11.6	6.15	-24	-58	40	-25.2	-62.5	39.9	434	-30	-66	34	254
13	442	1.63e-08	7.79	8.42	-52	-20	8	-53.7	-20.7	11.3	644	-52	-20	8	267
12	238	2.47e-05	4.61	4.56	-18	-68	0	-10	-69.4	0.654	615	2	-72	-2	307
11	141	0.00168	2.77	6.25	-16	-42	-50	-9.47	-40.8	-49.9	332	-16	-42	-50	193
10	131	0.00273	2.56	5	44	2	12	40.1	1.05	11	270	42	2	12	182
9	120	0.00471	2.33	4.42	0	-52	-42	-6.48	-55	-42	247	0	-50	-42	185
8	108	0.0087	2.06	4.68	-28	-8	-46	-29.8	-7.34	-43.1	362	-28	-12	-44	209
7	95	0.0173	1.76	5.2	18	-28	-8	18.2	-29.9	-7.42	929	8	-38	-4	337
6	95	0.0173	1.76	4.16	38	52	16	35.6	54.4	14.3	282	34	56	8	210
5	87	0.0268	1.57	4.58	-26	-58	-54	-25.9	-58	-55.6	208	-26	-58	-54	168
4	84	0.0317	1.5	4.31	8	-22	28	3.01	-28.4	26.8	286	-4	-22	28	202
3	82	0.0355	1.45	4.77	-28	12	62	-20.8	11.8	60.7	488	-28	12	62	233
2	77	0.0471	1.33	3.95	-10	-40	56	-8.45	-43.9	54.5	301	-12	-40	56	200
1	76	0.0499	1.3	4.78	30	-22	0	30.2	-22	0.668	259	30	-22	2	193
