Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	1036	1.06e-15	15	7.61	-36	-32	52	-38.4	-34.6	44.6	515	-38	-30	52	242
8	888	4.41e-14	13.4	7.28	48	-74	-2	42.1	-58	-18	480	46	-52	-30	241
7	855	1.04e-13	13	7.5	-40	-86	-2	-42.3	-73.7	-7.56	521	-40	-86	-2	228
6	198	0.000129	3.89	4.8	52	-24	34	43.1	-36.5	41.8	400	34	-54	52	227
5	197	0.000135	3.87	6.75	-30	-80	16	-29.1	-79.4	18.2	512	-30	-80	16	254
4	176	0.000337	3.47	5.29	38	-74	18	34.5	-74.5	20.4	395	38	-74	18	217
3	139	0.00185	2.73	6.46	-6	-18	54	-5.23	-16.2	57.5	358	0	-14	68	228
2	120	0.00471	2.33	5.62	-58	-24	38	-59.6	-23.5	35	392	-60	-24	38	252
1	82	0.0355	1.45	4.11	-60	0	34	-59.4	1.24	30.8	328	-62	-2	36	254
