Cluster Index	Z	x	y	z	
16	5.67	10	-16	4
16	5.61	-10	10	-2
16	5.55	-8	6	-2
16	5.45	32	18	6
16	5.42	32	20	-10
16	5.42	-6	-24	4
15	7.24	46	-82	-4
15	6.54	50	-74	2
15	6.26	32	-46	-22
15	6.15	36	-90	2
15	6.07	44	-60	-2
15	6.03	46	-62	-6
14	6.41	-38	-58	-10
14	6.33	-44	-76	-2
14	6.11	-44	-68	-4
14	5.66	-18	-104	-4
14	5.63	-24	-96	8
14	5.61	-30	-68	-10
13	5.91	-26	-8	46
13	5.58	-28	-6	52
13	5.37	-30	-12	44
13	4.8	-48	4	38
13	4.75	-42	-20	58
13	4.6	-42	-20	64
12	6.41	-30	-58	48
12	4.64	-44	-36	38
12	4.63	-42	-48	46
12	4.57	-26	-70	26
12	4.29	-42	-44	38
12	4.11	-42	-56	56
11	5.71	2	16	60
11	5.45	8	30	28
11	5.02	8	36	18
11	4.86	2	30	38
11	4.73	4	18	44
11	4.72	4	20	40
10	6.18	48	16	36
10	5.8	34	8	30
10	5.56	40	14	34
10	5.42	44	6	30
10	5	44	0	18
10	3.85	56	4	18
9	5.3	6	-40	22
9	4.79	0	-32	22
9	4.67	-6	-32	24
9	4.29	2	-22	26
9	3.74	2	-14	28
9	3.52	-4	-22	28
8	4.95	30	-6	50
8	4.64	44	4	58
8	4.56	28	-2	56
8	4.29	26	2	44
8	4.22	24	4	52
8	3.68	26	-12	58
7	5.79	48	-34	52
7	4.34	50	-46	48
6	4.51	4	-36	46
6	4.13	4	-36	40
6	3.36	12	-42	34
5	4.21	-60	-28	32
5	4.05	-62	-26	42
5	3.69	-58	-30	42
5	3.63	-58	-34	48
4	4.08	24	-60	4
4	3.95	18	-66	6
4	3.74	8	-76	4
4	3.52	22	-54	6
4	3.35	10	-82	8
3	4.55	-8	38	18
2	4.59	28	50	14
1	4.23	-38	-44	-38
1	3.78	-38	-44	-26
1	3.65	-46	-40	-26
1	3.4	-38	-46	-20
