Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	3142	7.11e-34	33.1	8.23	-38	-80	-18	-30.4	-78.1	-8.94	690	-18	-88	-18	238
12	2338	1.17e-27	26.9	8.58	44	-70	-4	36.7	-73.4	-11.3	511	40	-60	-24	214
11	1933	2.95e-24	23.5	8.32	-30	-60	66	-37.9	-36.2	56.6	921	-30	-60	66	267
10	1221	1.27e-17	16.9	6.89	2	6	30	0.286	1.77	38.3	815	0	8	34	303
9	530	1.01e-09	9	5.07	38	0	60	43.1	6.96	42.8	439	38	0	60	233
8	455	1.07e-08	7.97	6.23	38	-56	62	35.3	-53.5	55.1	558	40	-56	62	242
7	405	5.96e-08	7.22	6.61	-62	-16	12	-59.1	-22.8	13.7	691	-62	-14	12	263
6	352	3.58e-07	6.45	6.63	30	-78	46	30.9	-73.6	34	501	30	-78	46	229
5	181	0.00027	3.57	5.46	8	-38	52	5.88	-41.3	53.1	406	4	-44	54	253
4	150	0.0011	2.96	6.18	50	20	-10	47.8	20.2	-7.27	694	50	20	-10	329
3	131	0.00273	2.56	4.32	-40	-10	-10	-36.7	-10.9	-5	456	-40	-12	-4	218
2	117	0.00548	2.26	5.46	-58	10	6	-54.9	7.1	8.32	591	-58	10	6	254
1	86	0.0284	1.55	4.4	58	-26	54	58.2	-29.2	51.3	401	60	-34	52	261
