Cluster Index	Z	x	y	z	
15	8.58	-32	-88	-10
15	8.41	38	-86	-6
15	8.24	26	-56	-24
15	8.15	-32	-74	-22
15	7.73	28	-92	4
15	7.59	50	-64	-14
14	5.83	8	-4	6
14	5.82	-12	4	4
14	5.8	-12	-6	14
14	5.8	-16	-20	12
14	5.6	2	-8	4
14	5.57	-38	-40	10
13	7.74	-32	-20	66
13	7.37	-26	-26	70
13	6.48	-20	-26	78
13	6.4	-10	-18	84
13	6.3	-38	-36	66
13	5.77	-34	-26	56
12	5.9	-28	-50	42
12	5.9	-28	-50	38
12	4.25	-34	-64	60
12	4.18	-30	-50	28
12	4.17	-38	-58	54
12	4.08	-28	-76	46
11	6.38	-52	8	-2
11	4.51	-42	20	6
11	4.03	-42	6	0
11	3.7	-48	14	8
11	3.52	-52	10	8
11	3.47	-42	4	6
10	7.08	56	-26	52
10	5.41	50	-26	58
10	4.48	44	-32	42
10	4.06	56	-16	52
10	3.99	48	-38	56
10	3.93	38	-42	50
9	5.06	34	52	8
9	4.76	28	58	14
9	4.23	34	62	14
9	4.01	26	66	-2
9	3.96	26	68	4
9	3.45	38	64	-4
8	5.7	0	-48	18
8	5.37	2	-34	24
8	4.32	-4	-44	2
8	4.25	0	-46	8
7	5.01	6	24	36
7	4.17	2	32	28
7	3.6	-6	24	30
6	5.55	32	-24	68
6	3.99	24	-22	76
5	5.05	2	18	68
4	4.52	-40	6	30
4	4.03	-46	14	36
4	3.58	-52	4	46
4	3.38	-46	4	40
3	4.78	-34	56	16
3	4.17	-34	44	20
2	3.98	38	-12	44
2	3.92	40	-10	48
2	3.77	32	-12	48
2	3.28	42	-18	52
1	4.97	-46	-18	52
