Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	1984	1.07e-24	24	6.11	-40	-70	6	-36.3	-79.1	-2.08	411	-36	-90	0	231
18	1971	1.38e-24	23.9	5.94	48	-64	-12	45.6	-68.2	0.663	389	54	-72	-4	223
17	1313	1.53e-18	17.8	5.76	-44	-42	58	-38	-43.4	47.4	631	-28	-58	60	246
16	1296	2.25e-18	17.6	6.76	-52	-2	-4	-31.7	-3.91	-0.706	429	-52	-2	-4	220
15	1229	1.05e-17	17	6.64	44	0	8	40.1	3.06	-1.98	427	44	0	8	215
14	1057	6.32e-16	15.2	6.84	0	2	58	-1.31	7.06	49.8	621	0	2	58	280
13	676	1.36e-11	10.9	5.9	34	-60	56	33.7	-52.9	49.4	428	42	-42	62	229
12	502	2.4e-09	8.62	5.45	30	-56	-22	30.3	-48.9	-24.3	403	30	-60	-20	223
11	385	1.19e-07	6.92	4.91	54	4	32	50.4	4.2	30.3	375	52	10	24	233
10	220	5.14e-05	4.29	4.73	-54	8	30	-53.3	5.46	29.7	354	-54	8	30	221
9	126	0.00349	2.46	4.26	10	-18	2	9.61	-17.4	3.2	345	10	-18	6	236
8	126	0.00349	2.46	4.38	0	-56	50	-0.553	-53.4	52.6	303	0	-54	58	229
7	124	0.00386	2.41	4.44	-10	-22	48	-8.21	-18.2	44.1	280	-8	-24	50	202
6	117	0.00548	2.26	4.67	-62	-34	30	-59.2	-38.9	27.1	270	-58	-42	24	218
5	105	0.0102	1.99	4.41	-40	0	54	-38.9	-1.66	54	321	-38	0	54	213
4	103	0.0113	1.95	5.72	64	-20	22	63.7	-20.2	19.9	374	66	-20	22	259
3	100	0.0133	1.88	4.62	-40	38	14	-39.7	37.2	15	301	-42	40	16	218
2	95	0.0173	1.76	4.56	-46	-52	12	-45.9	-51.6	14.1	282	-46	-52	12	204
1	90	0.0228	1.64	4.21	32	46	32	31.1	40.7	27.8	393	36	44	34	211
