Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	984	3.84e-15	14.4	7.2	-30	-22	74	-36.1	-23.2	62.9	789	-30	-22	74	302
15	712	4.95e-12	11.3	6.56	46	-72	-4	40.3	-73.1	-9.82	565	28	-78	-16	244
14	625	5.89e-11	10.2	6.45	-52	-76	-4	-39.3	-82.9	-6.78	495	-52	-76	-4	243
13	546	6.18e-10	9.21	5.55	26	-40	-24	31.3	-47.5	-25.6	506	36	-48	-26	236
12	320	1.07e-06	5.97	5.12	0	-10	64	0.893	-3.56	61.8	665	10	8	72	308
11	221	4.93e-05	4.31	6.78	-50	-46	0	-48.9	-49.5	5.44	410	-50	-46	0	210
10	175	0.000352	3.45	4.97	6	-22	24	4.99	-25.6	26.6	379	6	-22	24	232
9	135	0.00225	2.65	5.58	30	-52	48	31.3	-52.7	45.4	346	32	-54	48	218
8	123	0.00405	2.39	5.69	44	-90	2	42.2	-86	4.18	405	44	-86	4	229
7	103	0.0113	1.95	5.06	-18	-64	68	-21.5	-64.2	64.7	486	-22	-66	64	343
6	96	0.0164	1.78	4.65	-24	-66	34	-24.1	-70.2	33.4	286	-24	-66	34	204
5	93	0.0193	1.71	4.55	2	18	36	3.68	14.2	39.3	359	2	18	36	242
4	87	0.0268	1.57	4.76	-8	-18	8	-10.9	-18.8	6.9	325	-6	-18	10	216
3	83	0.0336	1.47	4.48	40	-68	24	38.7	-70.6	24	331	42	-74	26	228
2	76	0.0499	1.3	5.39	8	0	8	4.95	-2.87	8.43	538	6	0	8	357
1	76	0.0499	1.3	3.9	-22	10	0	-20.4	6.63	1.43	195	-22	8	-2	170
