Cluster Index	Z	x	y	z	
16	7.2	-30	-22	74
16	7.19	-40	-32	68
16	6.58	-34	-22	70
16	6.28	-24	-14	76
16	6.11	-46	-34	64
16	5.91	-36	-22	40
15	6.56	46	-72	-4
15	6.37	50	-76	-8
15	5.44	46	-56	6
15	4.94	24	-70	-18
15	4.63	30	-78	-16
15	4.5	38	-90	-12
14	6.45	-52	-76	-4
14	5.5	-36	-94	0
14	5.42	-44	-86	-6
14	5.41	-42	-80	-18
14	5.4	-44	-76	-14
14	5.34	-40	-86	-2
13	5.55	26	-40	-24
13	4.95	34	-48	-26
13	4.94	26	-48	-26
13	4.68	44	-56	-28
13	4.64	34	-40	-34
13	4.61	48	-56	-20
12	5.12	0	-10	64
12	5.06	-2	-6	58
12	4.91	-4	-6	54
12	4.15	12	8	72
12	4.04	6	2	60
12	3.99	-4	-10	74
11	6.78	-50	-46	0
11	4.77	-44	-50	6
11	4.61	-40	-56	18
11	4.52	-50	-56	8
11	3.41	-60	-46	6
10	4.97	6	-22	24
10	4.49	4	-24	30
10	4.36	10	-30	22
10	3.46	14	-32	28
10	3.31	4	-34	24
9	5.58	30	-52	48
9	3.25	26	-46	36
8	5.69	44	-90	2
8	3.45	38	-86	20
8	3.37	38	-88	12
7	5.06	-18	-64	68
7	3.98	-26	-64	60
7	3.39	-10	-62	66
7	3.34	-32	-58	64
6	4.65	-24	-66	34
6	3.53	-20	-70	40
6	3.52	-26	-70	22
6	3.36	-22	-78	34
6	3.35	-22	-88	36
6	3.29	-22	-84	32
5	4.55	2	18	36
5	3.85	12	10	38
5	3.84	2	10	48
4	4.76	-8	-18	8
3	4.48	40	-68	24
3	4.38	42	-74	26
3	4.04	42	-80	28
3	3.72	34	-70	20
2	5.39	8	0	8
2	3.67	2	-10	12
1	3.9	-22	10	0
1	3.5	-24	0	4
1	3.38	-16	6	2
1	3.36	-14	6	12
