Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	22467	0	127	8.58	-32	-88	-10	2.12	-68.9	-10.7	1.25e+03	24	-92	-18	268
14	7116	0	58.3	5.83	8	-4	6	5.12	-5.55	3.99	896	0	-6	4	245
13	2493	6.63e-29	28.2	7.74	-32	-20	66	-17.7	-19.3	59.9	843	-10	-18	84	265
12	563	3.69e-10	9.43	5.9	-28	-50	42	-31.2	-56.3	43.6	438	-38	-60	60	256
11	397	5.96e-08	7.22	6.38	-52	8	-2	-48.4	11.8	1.07	450	-60	8	-2	231
10	379	1.19e-07	6.92	7.08	56	-26	52	50.8	-29.7	50.7	482	56	-26	52	233
9	368	1.79e-07	6.75	5.06	34	52	8	32.3	57.4	8.48	521	20	70	2	269
8	347	4.17e-07	6.38	5.7	0	-48	18	-0.403	-41.1	18.2	580	-4	-42	2	287
7	202	0.000109	3.96	5.01	6	24	36	3.86	25.3	33.4	358	4	24	36	238
6	144	0.00146	2.84	5.55	32	-24	68	32.2	-23	69.3	458	32	-24	70	282
5	115	0.00607	2.22	5.05	2	18	68	3.93	20	66.7	611	4	22	66	432
4	114	0.00639	2.19	4.52	-40	6	30	-44.5	7.48	35.1	309	-42	8	32	223
3	100	0.0133	1.88	4.78	-34	56	16	-33.3	48.8	16.9	317	-34	56	16	203
2	89	0.024	1.62	3.98	38	-12	44	37.1	-11	47.7	200	40	-10	48	164
1	84	0.0317	1.5	4.97	-46	-18	52	-48.6	-17.2	51.2	412	-46	-16	52	260
