Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	13084	0	88.4	10.1	-32	-92	-10	-5.27	-70.8	13.6	832	-22	0	72	230
17	1238	8.55e-18	17.1	6.73	-20	8	-2	-33.3	8.83	-3.55	472	-50	14	-12	208
16	723	3.65e-12	11.4	6.04	-6	10	48	0.232	10.5	42.2	432	0	12	38	222
15	447	1.39e-08	7.86	6.65	-62	-20	20	-59.3	-22.9	16.6	687	-50	-28	12	249
14	434	2.12e-08	7.67	6.95	-50	-52	12	-55.6	-46.8	20.6	482	-50	-52	12	233
13	426	2.76e-08	7.56	5.93	44	6	34	43.4	7.54	42.5	503	34	10	64	249
12	387	1.19e-07	6.92	6.09	26	4	-6	24.2	1.93	-4.64	329	20	4	-12	188
11	361	2.38e-07	6.62	6.54	-10	-22	0	-15.1	-21.9	2.29	308	-10	-22	0	171
10	311	1.49e-06	5.83	5.38	-36	0	26	-48.9	4.36	20.2	425	-54	8	18	216
9	228	3.7e-05	4.43	5.02	-30	56	22	-27.3	54.4	23.1	359	-28	58	22	207
8	189	0.00019	3.72	4.47	50	-36	28	58.6	-35.6	34	410	64	-34	38	220
7	188	0.000199	3.7	5.41	40	16	0	36	21.6	-0.893	306	38	16	0	187
6	163	0.000604	3.22	5.31	20	-60	-2	17.3	-60.8	1.08	352	20	-60	-2	218
5	144	0.00146	2.84	7.1	-6	0	76	-4.91	-2.94	75.4	734	-4	-2	76	356
4	135	0.00225	2.65	5.72	54	-46	14	52.7	-46.5	12.9	311	56	-48	16	201
3	99	0.014	1.85	3.99	2	-74	-40	3.36	-75.3	-39.8	223	2	-74	-40	160
2	83	0.0336	1.47	4.62	-2	-8	54	-2.77	-9.35	54	298	-2	-8	54	209
1	76	0.0499	1.3	4.55	-14	-66	-26	-15.2	-66.4	-25.1	178	-14	-66	-26	148
