Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	1592	3.32e-21	20.5	7.4	26	-92	-2	27	-71.1	-13	467	40	-80	-18	228
16	524	1.21e-09	8.92	6.04	-32	-50	-20	-31.2	-52.4	-19.7	413	-26	-62	-14	224
15	420	5.96e-08	7.22	5.31	10	-76	20	1.87	-70.5	13.4	513	4	-72	20	283
14	413	5.96e-08	7.22	6.01	-24	-98	2	-21.2	-92.3	0.908	512	-24	-98	2	240
13	391	5.96e-08	7.22	5.4	6	6	48	0.973	6.4	45.8	600	0	0	50	267
12	342	4.77e-07	6.32	5.82	-36	-88	-12	-32.8	-82.8	-15.5	372	-38	-88	-12	229
11	339	5.36e-07	6.27	4.74	-10	-20	6	-9.66	-20.8	-3.77	307	-10	-20	6	194
10	285	3.99e-06	5.4	5.08	56	6	40	46.3	2.66	44.8	480	44	-2	54	261
9	177	0.000322	3.49	5.37	12	-18	8	10.6	-16.4	9.38	346	12	-16	8	225
8	138	0.00194	2.71	4.28	22	6	-2	25.9	11.4	-1.43	242	30	24	0	193
7	131	0.00273	2.56	4.28	-50	-24	56	-46.5	-26.5	52.9	427	-48	-30	60	250
6	100	0.0133	1.88	4.31	32	-60	58	30.6	-60.7	55.4	470	32	-60	60	274
5	98	0.0147	1.83	4.6	-22	2	0	-21.6	2.32	-0.594	282	-24	2	-4	211
4	96	0.0164	1.78	4.43	-34	-20	56	-36	-18.5	62	400	-38	-18	68	246
3	87	0.0268	1.57	4.62	-6	-80	2	-2.81	-78.6	0.463	404	-2	-72	-2	278
2	85	0.03	1.52	4.56	-36	-4	48	-36.5	-2.88	50.9	351	-40	-2	56	233
1	83	0.0336	1.47	5.54	32	-80	22	31.3	-80.8	21.5	366	32	-80	22	232
