Cluster Index	Z	x	y	z	
8	5.97	-42	-80	0
8	5.73	-60	-66	-12
8	5.33	-52	-76	-16
8	5.1	-54	-60	-12
8	5.07	-52	-58	-16
8	4.94	-46	-82	-10
7	6.42	46	-66	-16
7	5	56	-68	-12
7	4.62	40	-62	-18
7	4.4	38	-54	-32
7	4.14	50	-58	-18
7	3.96	38	-60	-28
6	5.47	-24	-90	-18
6	5.22	-24	-80	-20
6	5.1	-24	-78	-24
6	4.86	-42	-78	-26
6	4.36	-32	-78	-26
6	3.9	-46	-84	-24
5	6.87	38	-82	-26
5	3.5	46	-78	-20
4	4.95	12	2	46
4	4.17	2	-6	60
4	3.98	-6	-2	54
4	3.86	4	0	46
4	3.57	4	6	40
3	6.3	-50	-4	4
2	5.42	-56	-28	16
2	3.66	-62	-20	18
2	3.48	-64	-16	14
1	5.43	-52	-2	18
