Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	961	6.84e-15	14.2	7.62	-46	-44	60	-50.2	-33.4	47.9	763	-46	-46	60	266
11	898	3.41e-14	13.5	5.83	-24	-88	-26	-35.6	-75.1	-21.1	719	-40	-60	-26	259
10	498	2.72e-09	8.57	5.55	44	-76	-14	34.9	-83.4	-12.3	454	38	-68	-18	240
9	278	5.19e-06	5.29	5.43	-48	0	6	-55.8	4.5	15.6	399	-60	6	12	236
8	169	0.00046	3.34	5.21	32	-58	-18	34.3	-55.3	-20.2	481	38	-58	-24	272
7	135	0.00225	2.65	4.97	-32	-86	14	-31.6	-90	12.6	338	-32	-92	16	235
6	116	0.00577	2.24	4.84	30	-72	24	25.5	-79.6	25.5	282	18	-90	32	213
5	104	0.0107	1.97	5.18	32	-60	60	30.5	-60.3	59.1	509	32	-62	60	288
4	99	0.014	1.85	4.78	-28	-8	72	-32.4	-7.31	67.3	408	-34	-6	66	259
3	90	0.0228	1.64	4.81	-6	-10	56	-2.22	-9.22	56.1	358	-4	-10	56	261
2	86	0.0284	1.55	4.93	-44	-80	4	-41.8	-85	1.34	329	-44	-80	4	218
1	77	0.0471	1.33	4.43	50	-64	0	48	-66	4.04	317	52	-64	0	227
