Cluster Index	Z	x	y	z	
12	7.81	-38	-30	50
12	6.43	-30	-46	36
12	6.27	-48	-40	54
12	6.16	-58	-24	38
12	6.02	-34	-52	48
12	5.89	-44	-22	48
11	6.53	44	-38	46
11	6.4	38	-72	18
11	6	34	-64	24
11	5.86	44	-34	36
11	5.69	34	-52	50
11	5.64	30	-60	28
10	8.51	-40	-84	-4
10	7.05	-46	-68	-14
10	6.71	-46	-78	-14
10	6.01	-40	-74	-8
10	5.09	-32	-50	-24
10	4.56	-40	-70	2
9	7.24	42	-62	-6
9	7.22	48	-74	-2
9	6.07	48	-68	-24
9	5.92	36	-50	-30
9	5.51	46	-64	-16
9	5.48	52	-64	-16
8	5.68	-58	2	34
8	4.15	-58	2	26
7	7	-30	-80	16
7	5.6	-26	-72	24
7	5.05	-24	-78	26
6	4.89	34	18	-10
6	4.8	32	18	-4
6	4.63	32	20	2
5	5.56	-6	-18	54
5	4.45	-2	-14	68
4	4.53	-10	-72	46
4	4.07	-18	-68	48
4	4.03	-16	-66	44
3	5.81	-30	-10	50
3	4.28	-36	-14	56
2	5.44	-40	-10	64
2	4.5	-46	-10	60
2	3.79	-36	-18	68
1	4	-8	4	46
1	3.98	0	-2	44
1	3.97	-6	8	46
1	3.51	0	2	52
