Cluster Index	Z	x	y	z	
20	9.12	-42	-78	-2
20	8.95	-42	-84	2
20	7.74	-46	-88	-2
20	7.44	-44	-66	-12
20	6.11	-52	-58	10
20	5.63	-40	-64	12
19	7.24	-48	-24	36
19	7.12	-42	-42	48
19	6.02	-38	-30	32
19	5.77	-56	-22	46
19	5.33	-44	-18	64
19	5.08	-60	-24	8
18	8.81	36	-86	8
18	7.83	44	-60	-12
18	7.36	36	-92	12
18	7.12	42	-92	0
18	6.96	32	-96	8
18	6.36	46	-80	4
17	6.2	-10	-18	4
17	6.05	6	-18	6
17	4.63	-16	-22	-4
17	3.31	18	-14	16
16	6.02	14	-70	48
16	5.76	34	-62	26
16	5.09	20	-66	44
16	5.01	28	-60	34
16	4.84	24	-64	40
15	4.73	8	14	36
15	4.5	4	10	46
15	4.24	-2	0	46
15	4.21	-10	8	46
15	4.2	-4	-10	48
15	4.07	-6	14	36
14	5.57	64	-28	16
14	4.85	64	-42	16
14	4.82	64	-26	10
14	4.79	60	-38	24
14	4.77	66	-22	20
14	3.83	66	-38	30
13	5.46	-52	4	2
13	5.46	-58	10	10
13	4.8	-34	12	2
13	4.66	-36	16	6
13	4.25	-44	16	0
12	4.81	34	-64	-18
12	4.5	18	-54	-24
12	4.45	20	-60	-10
12	3.91	30	-70	-18
12	3.77	10	-58	-10
12	3.77	24	-50	-24
11	5.55	52	-20	32
11	4.63	58	-24	46
11	4.23	62	-20	38
11	3.97	60	-8	36
11	3.96	64	-18	30
11	3.44	60	-14	28
10	6.46	16	-66	-52
10	4.64	18	-74	-46
10	3.74	30	-52	-52
10	3.74	26	-56	-52
10	3.38	34	-46	-52
9	7.15	-58	4	34
9	4.93	-54	10	28
9	4.73	-42	-2	26
9	4.52	-50	-2	30
8	4.93	-22	-64	8
8	4.06	-18	-52	-4
8	3.89	-14	-56	-2
7	5.25	-26	-8	46
7	4.41	-28	-4	54
7	4.32	-34	2	46
6	4.02	-22	-68	-50
6	3.95	-20	-74	-52
6	3.93	-12	-62	-54
6	3.9	-12	-74	-48
6	3.85	-8	-78	-52
6	3.83	-6	-76	-48
5	4.91	26	62	20
5	4.03	36	56	22
5	3.81	40	52	22
4	4.84	26	-50	0
4	4.33	30	-56	6
4	4.17	26	-58	10
3	5.05	40	-38	48
3	3.8	34	-46	48
3	3.8	46	-36	52
3	3.54	34	-48	52
2	4.99	42	6	30
2	4.12	50	8	26
2	3.52	54	16	24
1	4.99	28	0	50
