Cluster Index	Z	x	y	z	
16	7.49	32	-84	30
16	7.37	34	-84	22
16	7.29	32	-82	26
16	6.9	18	-90	-12
16	6.73	32	-90	24
16	6.55	32	-58	46
15	5.89	2	12	48
15	5.68	0	-6	56
15	5.52	0	-8	66
15	5.39	-6	-12	52
15	5.01	-10	-4	74
15	4.33	-4	-8	72
14	6.4	-28	-78	22
14	6.03	-24	-92	24
14	5.96	-22	-84	20
14	5.8	-30	-84	26
14	3.95	-36	-78	22
13	6.16	-42	-36	36
13	6.13	-58	-26	30
13	5.28	-38	-40	50
13	4.77	-42	-42	46
13	4.55	-50	-46	58
13	4.13	-52	-32	34
12	6.8	-46	-70	-4
12	6.53	-44	-68	0
12	6.36	-42	-72	-8
12	5.15	-42	-72	-18
12	3.91	-50	-72	8
11	7.48	56	14	28
11	4.71	56	26	26
11	4.54	46	6	24
11	4.14	50	28	20
11	3.77	44	30	22
10	5.82	34	24	2
10	4.36	52	16	-8
10	4.17	40	14	0
10	3.56	56	18	0
9	7.83	-20	-98	8
9	7.48	-36	-92	-6
9	4.88	-28	-96	-8
9	3.85	-38	-88	6
9	3.44	-46	-86	-4
8	6.13	-28	-74	40
8	5.29	-36	-66	54
8	5.02	-38	-68	50
8	4.54	-36	-58	54
7	8.13	-60	0	40
7	7.75	-56	-2	36
6	5.12	-38	16	6
6	4.49	-32	28	-2
6	4.14	-36	22	-8
6	3.48	-38	8	2
6	3.4	-38	10	14
5	4.9	22	-50	-30
5	4.57	34	-46	-32
5	3.6	10	-54	-18
4	5.32	-42	-26	66
4	5.05	-38	-24	60
3	5.02	-30	-10	56
3	4.74	-30	-4	48
3	3.45	-26	-16	50
2	4.42	-16	-18	10
2	4.35	-14	-22	10
2	3.9	-10	-22	4
2	3.57	-8	-14	4
1	4.37	40	-70	-18
1	4.17	40	-74	-16
1	4.03	46	-64	-16
