Cluster Index	Z	x	y	z	
20	10.8	-32	-94	-8
20	10.6	-42	-88	0
20	8.02	-30	-94	16
20	8.01	22	-98	2
20	7.95	16	-100	-2
20	7.9	6	-98	2
19	6.31	-20	8	-2
19	5.42	-30	-4	0
19	4.55	-26	0	-10
19	4.47	-18	-2	-14
18	5.47	-54	2	-6
18	5.45	-40	18	2
18	5.25	-30	28	-2
18	5	-36	16	6
18	4.91	-48	18	-8
18	4.09	-36	28	20
17	6.11	-8	10	48
17	4.09	10	8	34
17	3.82	6	18	42
17	3.77	10	14	46
17	3.73	4	10	40
17	3.71	-2	12	38
16	5.25	44	6	34
16	5.17	40	14	22
16	5.04	42	4	24
16	3.94	34	10	18
16	3.43	36	20	20
15	5.9	20	4	-10
15	4.92	26	4	-2
15	4.87	26	4	-6
15	3.71	16	2	14
15	3.48	14	-2	10
15	3.44	22	2	10
14	5.78	-32	-8	48
14	5.06	-30	0	50
14	4.84	-36	-8	54
14	3.61	-32	4	40
13	5.24	-14	-20	0
13	3.65	-20	-34	2
13	3.49	-14	-14	-12
12	6.09	-36	2	26
12	4.89	-56	8	18
11	5.53	-60	-20	20
11	4.82	-56	-22	10
11	4.27	-52	-28	12
11	4.07	-56	-26	16
11	3.58	-50	-20	16
10	5.82	40	18	0
10	3.5	46	22	-6
10	3.46	46	20	6
9	5.02	36	8	60
9	3.53	26	16	68
8	6.75	-50	-50	12
7	5.26	-56	2	46
7	4.31	-52	-8	54
7	4.14	-48	-14	44
7	3.69	-56	-6	48
7	3.62	-46	-16	36
7	3.28	-56	-16	50
6	4.33	50	-40	24
6	4.15	52	-46	16
6	3.98	46	-48	10
6	3.56	54	-34	38
6	3.48	50	-36	30
5	5.29	40	-42	40
5	5.21	40	-42	44
4	4.55	-30	54	18
4	3.78	-26	48	24
4	3.51	-26	60	26
4	3.47	-22	62	22
4	3.46	-16	64	20
3	5.15	-62	-40	30
3	4.95	-56	-42	30
2	4.34	2	-20	30
2	4.02	-4	-26	32
2	3.79	0	-8	32
1	6.54	-6	0	76
