Cluster Index	Z	x	y	z	
20	8.63	38	-82	-26
20	8.01	46	-66	-16
20	6.96	44	-82	-6
20	6.82	56	-68	-12
20	6.65	40	-62	-18
20	6.46	34	-94	-6
19	8.35	-44	-80	0
19	7.25	-48	-82	-10
19	7.25	-42	-78	-26
19	7	-54	-60	-12
19	6.86	-52	-76	-16
19	6.43	-60	-66	-12
18	6.38	-36	-64	52
18	6.09	-30	-68	58
18	5.98	-32	-58	42
18	5.97	-32	-46	38
18	5.8	-28	-72	48
18	5.4	-48	-44	46
17	6.55	32	-50	40
17	5.73	30	-62	40
17	5.65	28	-60	36
17	5.54	28	-72	24
17	5.49	36	-74	42
17	4.8	22	-70	56
16	6.37	-50	-6	4
16	5.97	-52	0	18
16	5.94	-36	-6	34
16	5.3	-40	-2	24
16	5.1	-36	2	24
16	5.06	-54	2	2
15	5.7	42	-6	62
15	5.57	36	-8	66
15	5.51	56	-8	38
15	5.21	50	2	28
15	4.89	52	-4	42
15	4.88	46	-8	58
14	6.04	12	2	46
14	4.9	0	6	44
14	4.89	0	-6	60
14	4.57	-10	8	34
14	4.57	-6	12	34
14	4.03	4	24	32
13	6.01	-32	-10	68
13	5.95	-38	-10	64
13	5.41	-20	-6	74
13	5.1	-44	-14	64
13	4.63	-26	-10	74
13	4.16	-44	-14	48
12	5.67	-8	-16	6
12	4.72	-12	-24	6
12	4.71	12	-16	6
12	4.48	10	-24	8
12	4.17	16	-14	-2
12	4.16	18	-14	-6
11	6.11	-54	-28	16
11	6.11	-54	-26	20
11	5.46	-60	-22	20
11	5.45	-58	-30	34
11	4.42	-62	-30	44
11	4.25	-64	-16	14
10	5.01	20	-62	-54
10	4.61	4	-76	-48
10	4.12	28	-52	-54
10	4.06	26	-46	-58
10	3.49	26	-66	-58
9	4.44	-26	60	-10
9	4.41	-24	58	-16
9	4.37	-20	56	-14
9	3.76	-34	58	-20
8	4.09	-40	14	2
8	4.07	-30	16	4
8	4	-36	24	6
8	3.8	-30	22	4
7	4.52	-54	-54	32
7	4.31	-54	-44	26
7	4.22	-64	-48	32
7	4.05	-66	-46	36
7	3.49	-64	-40	30
6	4.76	2	-78	-28
6	4.64	0	-80	-24
6	4.56	0	-80	-32
6	3.92	-10	-90	-28
5	4.68	42	12	-2
5	4.11	54	12	-8
5	3.63	54	8	-2
5	3.3	48	18	-8
5	3.28	38	4	-2
4	4.01	60	-36	16
4	3.95	62	-44	22
4	3.93	64	-52	12
4	3.39	56	-48	18
4	3.37	56	-46	12
3	4.79	-8	-30	-32
3	3.89	4	-24	-32
3	3.56	8	-28	-32
3	3.46	-6	-18	-34
3	3.26	12	-30	-26
3	3.2	10	-32	-30
2	4.74	58	-26	30
2	4.37	60	-24	24
1	4.6	22	0	70
1	4.54	16	0	76
