Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	3019	1.74e-33	32.8	8.63	38	-82	-26	37.9	-72.7	-17.6	717	38	-82	-26	242
19	2832	4.73e-32	31.3	8.35	-44	-80	0	-42	-73.1	-13.8	648	-42	-78	-26	240
18	1602	1.23e-21	20.9	6.38	-36	-64	52	-34.1	-57	48.9	539	-32	-66	58	232
17	1050	4.17e-16	15.4	6.55	32	-50	40	31	-60.9	40.8	488	14	-74	56	213
16	764	7.4e-13	12.1	6.37	-50	-6	4	-45.6	-2.87	17.8	402	-52	0	18	224
15	590	1.11e-10	9.95	5.7	42	-6	62	44.2	-3.93	43.6	557	36	-8	66	253
14	565	2.38e-10	9.62	6.04	12	2	46	3.36	5.44	44.2	389	0	-6	60	227
13	525	8.2e-10	9.09	6.01	-32	-10	68	-32.1	-10.4	64.4	614	-32	-10	68	283
12	422	2.32e-08	7.63	5.67	-8	-16	6	-0.874	-20.7	5.17	391	2	-24	8	208
11	412	5.96e-08	7.22	6.11	-54	-28	16	-57.8	-26.4	24.6	488	-60	-26	10	236
10	300	1.79e-06	5.75	5.01	20	-62	-54	17.9	-62.1	-53.3	273	10	-66	-52	182
9	198	0.000108	3.97	4.44	-26	60	-10	-26	58.4	-15.1	892	-32	58	-20	373
8	167	0.000431	3.37	4.09	-40	14	2	-34.6	18.5	4.14	261	-30	26	2	195
7	144	0.00127	2.9	4.52	-54	-54	32	-58.8	-49.1	31.8	227	-54	-54	32	181
6	137	0.00179	2.75	4.76	2	-78	-28	-1.2	-80.1	-27.5	265	0	-82	-22	191
5	132	0.00228	2.64	4.68	42	12	-2	45.9	11.3	-2.78	450	56	12	-8	244
4	123	0.00359	2.45	4.01	60	-36	16	61.3	-45.1	17.2	243	66	-46	16	180
3	103	0.0102	1.99	4.79	-8	-30	-32	-1.47	-27.4	-31.7	329	14	-32	-26	204
2	98	0.0133	1.88	4.74	58	-26	30	58.7	-24.7	27.5	275	62	-26	20	206
1	96	0.0149	1.83	4.6	22	0	70	18.6	0.663	72.3	489	16	0	76	281
