Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	10895	0	79.3	10.8	-32	-94	-8	-7.31	-72.8	17.5	777	-46	-86	0	224
19	520	9.59e-10	9.02	6.31	-20	8	-2	-23.8	3.35	-2.44	362	-20	8	-2	190
18	427	1.96e-08	7.71	5.47	-54	2	-6	-41.7	17.7	-0.309	423	-48	18	-10	210
17	388	5.96e-08	7.22	6.11	-8	10	48	-3.65	9.67	45.4	396	-6	10	48	215
16	364	1.79e-07	6.75	5.25	44	6	34	43.3	8.86	28.3	323	46	8	34	203
15	360	1.79e-07	6.75	5.9	20	4	-10	22.4	4.22	-3.33	309	20	4	-12	174
14	262	7.69e-06	5.11	5.78	-32	-8	48	-32.7	-5.9	49.1	299	-32	-8	48	185
13	222	3.9e-05	4.41	5.24	-14	-20	0	-14.2	-21.5	0.428	231	-10	-22	0	165
12	218	4.61e-05	4.34	6.09	-36	2	26	-46.7	4.25	21.7	391	-54	8	18	216
11	208	7.05e-05	4.15	5.53	-60	-20	20	-58.7	-22.3	16.3	494	-52	-28	12	218
10	199	0.000104	3.98	5.82	40	18	0	37.6	20.7	-0.854	316	38	18	0	187
9	166	0.000451	3.35	5.02	36	8	60	33.7	8.29	60.4	545	34	10	64	271
8	162	0.000543	3.27	6.75	-50	-50	12	-53.9	-51.5	14.6	462	-50	-52	12	223
7	154	0.000789	3.1	5.26	-56	2	46	-52.8	-5.36	44.6	292	-52	-8	54	180
6	141	0.00147	2.83	4.33	50	-40	24	51.8	-43	20	254	56	-34	38	170
5	137	0.00179	2.75	5.29	40	-42	40	39.4	-42.1	43.5	302	40	-42	40	194
4	119	0.0044	2.36	4.55	-30	54	18	-27.4	55.9	20.7	247	-26	58	24	182
3	115	0.0054	2.27	5.15	-62	-40	30	-59.3	-41.1	29.6	384	-60	-40	30	242
2	98	0.0133	1.88	4.34	2	-20	30	0.631	-20.9	30.7	371	0	-20	30	248
1	86	0.0259	1.59	6.54	-6	0	76	-5.6	-0.932	75.2	654	-6	0	76	342
