Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	3773	5.37e-39	38.3	8.88	-38	-80	-18	-30.8	-76.1	-10.3	732	-18	-88	-18	252
19	3332	7.99e-36	35.1	9.27	42	-84	-2	35.5	-73.1	-12.3	641	40	-60	-24	230
18	1513	8.53e-21	20.1	7.78	30	-78	46	33.4	-62.3	44.9	603	30	-78	46	250
17	1395	1.19e-19	18.9	6.46	2	6	56	-0.0379	-0.723	41.5	764	2	6	34	292
16	1356	2.88e-19	18.5	9.61	-34	-8	66	-41.3	-14	60.3	795	-30	-20	72	283
15	912	1.4e-14	13.9	8.27	-28	-60	66	-29.5	-56.7	58.8	928	-30	-60	66	297
14	715	2.91e-12	11.5	6.53	22	-8	68	40.7	5.97	45.6	576	26	-6	68	251
13	313	1.07e-06	5.97	5.09	18	-66	-58	5.03	-70.5	-50.9	365	6	-72	-50	195
12	235	2.28e-05	4.64	7.05	-54	-18	14	-59.2	-15.8	14.1	662	-62	-14	12	314
11	197	0.000113	3.95	5.48	4	-42	54	6.04	-41.6	52.8	416	4	-42	54	254
10	161	0.000569	3.25	6.34	50	20	-10	47.6	20.3	-7.59	727	50	20	-10	351
9	149	0.001	3	6.06	-56	-66	6	-55.5	-60.8	4.37	336	-54	-60	8	220
8	131	0.0024	2.62	6.42	10	-18	6	11	-17.9	5.31	323	10	-18	6	210
7	128	0.00279	2.55	4.87	-58	-48	8	-59.6	-41.3	12.3	274	-64	-42	20	203
6	114	0.00569	2.24	5.05	16	8	-16	16.7	10.3	-12	271	16	8	-16	195
5	108	0.0078	2.11	4.23	42	44	28	42.4	42.8	23.6	322	42	46	28	211
4	107	0.00822	2.09	4.36	-36	-12	-4	-36.7	-11	-4.71	521	-40	-12	-4	237
3	106	0.00867	2.06	4.35	66	-32	20	62.9	-34.6	23	311	66	-32	20	209
2	98	0.0133	1.88	5.63	-58	8	6	-56.2	6.82	8.24	620	-58	10	6	272
1	81	0.0345	1.46	4.33	48	52	6	46.8	52	1.43	324	48	52	6	254
