Cluster Index	Z	x	y	z	
5	11.2	46	-72	-12
5	10.8	-46	-76	-12
5	10.4	-28	-96	-4
5	10.4	38	-62	-16
5	10.3	-46	-66	-14
5	10.2	-42	-84	-4
4	4.88	-34	-68	-50
4	4.83	-30	-68	-54
4	4.29	-44	-60	-52
4	3.76	-24	-68	-44
4	3.58	-20	-62	-42
4	3.52	-24	-56	-52
3	4.99	48	36	26
3	4.68	48	36	18
3	4.29	56	26	30
3	3.99	40	48	18
3	3.86	40	44	14
3	3.77	48	46	22
2	7.77	-48	-28	20
2	6.16	-48	-32	12
2	3.98	-64	-16	24
1	5.35	-46	-46	22
1	4.35	-60	-46	12
1	3.78	-48	-52	16
1	3.68	-64	-42	4
1	3.47	-68	-44	10
1	3.25	-60	-52	18
