Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	10183	0	75.7	9.77	-24	-60	56	-5.07	-41.4	43	1.26e+03	-36	-22	66	298
14	4547	2.8e-44	43.6	7.99	-36	-80	-8	-26.1	-71.2	-21.5	1.06e+03	-40	-56	-24	258
13	4401	2.61e-43	42.6	8.16	44	-70	-16	34.2	-67.9	-18.2	1.25e+03	44	-78	-18	266
12	4062	5.22e-41	40.3	7.04	6	28	30	5.28	4.6	41.7	1.2e+03	12	18	64	326
11	1296	1.14e-18	17.9	6.1	10	2	4	-1.78	-3.29	4.86	590	8	-4	10	239
10	572	1.92e-10	9.72	6.4	-52	14	-4	-36.6	3.9	1.37	730	-52	14	-6	232
9	523	8.73e-10	9.06	5.46	50	16	-4	39	16.1	-5.79	604	50	16	-10	252
8	515	1.12e-09	8.95	6.24	-56	4	22	-56.1	1.25	23.9	408	-56	6	22	224
7	439	1.31e-08	7.88	6.47	-46	-50	2	-51.1	-48.2	11	424	-58	-46	18	244
6	376	1.19e-07	6.92	6.3	44	6	22	48.9	4.59	19.8	553	50	6	32	270
5	187	0.000175	3.76	4.35	42	44	8	38.3	45.2	17.5	331	38	52	10	233
4	169	0.000393	3.41	5.05	-44	32	24	-47.4	30.3	23.1	334	-50	26	26	240
3	143	0.00133	2.88	5.48	-30	44	26	-32.1	43.5	26.4	338	-32	44	26	228
2	140	0.00154	2.81	4.26	-26	60	16	-26.2	57.3	14.8	337	-28	60	22	196
1	124	0.00341	2.47	4.53	-26	-68	-58	-24.7	-66.7	-56.2	221	-16	-64	-60	174
