Cluster Index	Z	x	y	z	
19	6.99	46	-62	-6
19	6.78	40	-82	-2
19	6.61	46	-82	-4
19	6.21	36	-90	4
19	6.2	30	-76	32
19	5.96	62	-44	8
18	6.95	-28	-10	46
18	6.37	-32	-58	48
18	6.04	-24	-70	26
18	5.67	-44	-36	38
18	5.65	-42	-42	36
18	5.48	-36	-10	46
17	6.59	-48	-72	-2
17	6.09	-44	-68	-4
17	6.03	-38	-58	-10
17	5.39	-46	-62	-22
17	5.17	-56	-70	14
17	5.12	-30	-72	-20
16	6.62	2	16	60
16	6.32	30	-6	52
16	5.95	-6	12	50
16	5.53	8	30	28
16	5.35	4	18	46
16	5.04	-2	6	60
15	6.34	32	20	-10
15	5.87	36	20	2
15	5.63	48	16	-8
15	5.31	42	20	-4
15	5.29	48	10	-6
15	4.23	54	10	4
14	6.58	46	8	32
14	5.88	42	2	20
14	5.85	48	2	18
14	5.84	50	14	36
14	4.98	34	6	30
14	4.77	40	14	32
13	5.51	-10	-18	4
13	4.92	-6	-18	-4
13	4.44	-12	-14	-4
13	4.23	-12	4	4
13	4.23	-8	-4	2
13	4.18	-12	4	8
12	5.92	10	-18	6
12	4.31	8	0	-4
12	4.22	6	4	6
12	3.99	8	-4	8
12	3.82	6	-26	-12
12	3.72	18	2	10
11	5.93	-48	2	32
11	4.63	-54	4	22
11	4.43	-56	6	34
11	4.08	-60	2	24
11	4	-50	0	14
11	3.71	-54	4	44
10	4.71	-4	-80	-34
10	4.61	6	-78	-24
10	4.16	0	-72	-22
10	3.74	16	-70	-26
10	3.27	-6	-74	-16
9	6.53	48	-34	52
9	4.26	44	-38	40
9	3.89	48	-32	42
8	4.54	26	68	-8
8	4.3	12	72	2
8	3.62	6	70	-2
7	4.57	6	-40	20
7	4.47	-4	-32	22
7	3.92	8	-32	26
6	5.53	-30	12	10
5	4.41	-60	-32	48
5	3.73	-60	-20	38
5	3.64	-56	-24	32
5	3.61	-62	-24	32
4	4.5	30	50	18
4	4.31	28	44	24
4	4.05	26	44	16
3	4.05	-4	-22	54
3	3.95	-12	-28	48
3	3.64	-4	-14	64
2	3.97	16	16	-12
2	3.82	14	10	-14
2	3.74	14	18	-6
2	3.53	6	14	-4
2	3.31	18	6	-10
1	4.26	20	-70	56
