Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	8376	0	66.3	11	44	-56	-6	39.9	-56.6	15.2	992	32	-50	70	262
13	7553	0	61.7	7.37	34	12	62	2.44	5.85	15.8	1.05e+03	60	10	-6	246
12	3686	2.21e-38	37.7	7.35	-30	-56	58	-41.3	-39.2	41.9	729	-46	-48	60	265
11	3631	5.46e-38	37.3	9.22	-48	-74	-6	-42.8	-72.2	3.17	901	-50	-74	-2	300
10	1465	2.47e-20	19.6	7.83	6	22	38	0.279	14.3	37.6	899	6	22	38	258
9	233	2.47e-05	4.61	4.87	-18	-68	0	-19.9	-64.8	-3.59	500	-16	-58	-4	257
8	143	0.00133	2.88	4.74	-42	38	18	-41.3	38	16.1	323	-46	40	20	221
7	131	0.0024	2.62	4.77	34	58	6	34.7	56.7	7.54	451	40	60	2	260
6	96	0.0149	1.83	4.43	34	50	26	38.5	44.2	24.7	421	44	42	24	247
5	88	0.0232	1.64	4.17	-36	56	18	-29.7	58.4	10.7	253	-32	68	8	188
4	85	0.0274	1.56	4.93	50	-38	-4	49	-35.3	-2.54	431	48	-36	0	258
3	82	0.0326	1.49	4.35	-2	-74	2	-0.488	-74	-0.454	534	2	-70	0	373
2	79	0.0387	1.41	5.19	4	-10	32	4.14	-10.7	31.7	331	2	-10	32	220
1	76	0.046	1.34	5.13	-16	-42	-50	-19.7	-41.8	-48.2	311	-22	-36	-44	211
