Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	4107	2.56e-41	40.6	8.71	-38	-16	68	-40.2	-35.3	51.8	1.19e+03	-38	-16	68	294
22	3157	1.58e-34	33.8	10.8	36	-90	-4	36.1	-76.3	4.31	1.31e+03	36	-92	-4	295
21	2904	1.31e-32	31.9	10.6	-36	-88	-6	-35.7	-76.7	-11.3	1e+03	-46	-76	-20	313
20	2045	1.27e-25	24.9	7.62	58	-44	20	49.6	-42.9	38.4	878	52	-34	60	275
19	1313	7.72e-19	18.1	7.04	4	10	44	0.373	1.51	44.1	567	4	10	44	263
18	1305	9.29e-19	18	6.91	8	-16	6	23.3	-3.48	0.442	519	6	-18	6	223
17	698	4.71e-12	11.3	6.62	58	6	0	50.4	6.94	20.1	690	58	6	0	268
16	622	4.28e-11	10.4	7.37	30	-6	52	27.8	-1.29	56.6	580	22	6	70	285
15	581	1.46e-10	9.84	4.98	-14	-78	-26	-14.6	-74.6	-34.4	340	-20	-80	-22	195
14	471	4.59e-09	8.34	6.69	30	28	26	29.6	39	27.5	494	30	30	26	263
13	416	2.84e-08	7.55	5.56	0	-76	14	0.814	-75.7	9.21	516	-2	-74	12	309
12	408	5.96e-08	7.22	6.7	-8	-18	6	-11.4	-19.5	5.2	466	-8	-18	6	229
11	362	1.79e-07	6.75	6.26	-44	-2	34	-51.7	-0.717	32.4	396	-44	0	34	230
10	333	5.36e-07	6.27	5.36	-42	8	-2	-42.6	1.45	1.26	470	-50	12	-8	226
9	318	8.94e-07	6.05	6.43	2	-32	24	1.43	-31.8	25.5	559	2	-32	26	298
8	274	4.83e-06	5.32	4.59	-24	0	0	-25.8	-3.91	-3	280	-24	-4	-14	187
7	251	1.19e-05	4.92	5.9	36	-48	-26	30.1	-48.5	-28.1	380	30	-48	-22	232
6	162	0.000543	3.27	5.11	16	-74	-24	16.3	-71.9	-20.9	280	20	-74	-22	198
5	159	0.000624	3.2	6.47	-30	28	2	-29.8	24.8	1.1	418	-30	28	2	229
4	155	0.000753	3.12	4.83	-32	36	38	-34.6	33.2	36.8	302	-32	36	40	205
3	129	0.00265	2.58	4.42	12	-34	-46	17.7	-42.9	-51.6	253	14	-36	-46	204
2	124	0.00341	2.47	4.61	-6	-8	74	-12.9	-7.74	76.8	657	-10	-10	80	393
1	85	0.0274	1.56	4.25	-10	-50	-44	-11.8	-47.9	-47.4	280	-10	-50	-44	211
