Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	1949	8.73e-25	24.1	7.38	42	-72	0	34	-78.5	-4.59	865	28	-94	-4	254
20	1662	3.38e-22	21.5	6.75	-24	-88	12	-33.1	-85.1	-3.51	519	-24	-64	-18	243
19	1041	5.22e-16	15.3	5.98	-30	-40	42	-41.1	-39.9	45.7	638	-46	-44	60	256
18	375	1.19e-07	6.92	4.7	-42	-10	4	-41.8	6.53	-0.549	527	-46	8	-6	275
17	320	8.34e-07	6.08	6.35	16	-58	52	25.2	-56.1	53.1	522	16	-58	52	276
16	288	2.8e-06	5.55	6.64	-16	-66	44	-17.6	-67.6	43.3	1.07e+03	-16	-72	50	298
15	230	2.8e-05	4.55	6.16	8	22	30	2.63	26.4	31.1	503	2	34	30	275
14	212	5.94e-05	4.23	5.88	36	22	2	39	15.9	0.338	489	36	22	2	261
13	188	0.000168	3.78	5.22	-38	-44	-20	-40	-50.9	-25.1	408	-46	-60	-26	220
12	163	0.000518	3.29	4.46	32	-4	48	36.3	3.76	50.8	793	38	6	58	289
11	158	0.000654	3.18	4.67	50	-30	46	47.1	-32.3	47.6	355	44	-36	62	228
10	157	0.000685	3.16	5.42	-8	-18	2	-9.95	-19.7	6.47	400	-6	-22	4	241
9	155	0.000753	3.12	6	-4	10	52	-1.73	10	51.8	508	-4	10	52	265
8	147	0.0011	2.96	5.52	46	2	26	50.4	4.67	31.4	435	58	14	34	275
7	120	0.00418	2.38	4.67	-46	-10	56	-43.8	-14.1	60.3	491	-50	-12	56	303
6	111	0.00666	2.18	5.1	-24	-6	46	-29.6	-5.29	47.4	380	-26	-6	46	223
5	111	0.00666	2.18	5.14	6	6	72	5.69	6.48	68	1.13e+03	6	6	72	412
4	106	0.00867	2.06	4.48	8	-20	8	10.1	-16.9	5.92	488	8	-18	8	276
3	103	0.0102	1.99	4.32	24	-68	42	25.5	-68.9	37.3	288	24	-68	42	201
2	88	0.0232	1.64	4.98	32	-46	-50	30.8	-44.2	-47.7	263	26	-34	-44	199
1	88	0.0232	1.64	4.05	-8	-78	10	-4.48	-82.2	5.85	475	-4	-86	2	337
