Cluster Index	Z	x	y	z	
21	6.44	36	-90	14
21	6.43	48	-64	-4
21	6.37	48	-64	-12
21	6.35	54	-68	-4
21	6.22	30	-46	-26
21	6.09	46	-72	4
20	7.36	-40	-72	-8
20	6.37	-48	-66	-6
20	6.08	-40	-60	-10
20	5.95	-30	-86	2
20	5.77	-18	-96	-6
20	5.45	-50	-76	8
19	7.95	-4	2	58
19	5.32	-4	16	42
19	5.25	0	-4	66
19	5.18	-8	14	38
19	4.8	-2	8	46
19	4.64	-4	34	18
18	7.4	52	10	24
18	6.42	44	0	8
18	5.24	48	4	2
18	5.07	48	-2	30
18	5.06	36	18	20
18	4.86	60	8	14
17	5.78	34	-58	56
17	5.3	34	-58	40
17	4.76	44	-42	46
17	4.57	38	-38	42
17	4.56	40	-42	38
17	4.55	34	-40	46
16	5.84	-24	-50	52
16	5.35	-26	-56	54
16	5.3	-40	-44	54
16	5.25	-28	-56	60
16	5.12	-34	-48	54
16	5.06	-44	-40	58
15	6.24	-58	-24	36
15	5.84	-44	-28	42
15	4.57	-58	-32	50
15	4.48	-62	-26	26
15	4.47	-40	-22	64
15	4.11	-58	-22	18
14	5.87	-44	4	28
14	5.42	-42	38	12
14	5.34	-58	4	38
14	5.19	-54	6	32
14	4.48	-34	16	22
14	4.1	-58	-6	42
13	5.41	-38	0	52
13	4.94	-30	-4	46
13	4.64	-30	-8	70
13	3.84	-28	2	62
13	3.72	-22	0	54
13	3.39	-42	-8	58
12	4.95	36	52	26
12	4.68	32	48	22
12	4.57	32	44	20
12	4.5	42	52	20
12	4.27	32	44	34
12	4.11	36	46	28
11	5.48	26	2	50
11	3.67	34	10	54
11	3.32	22	12	58
10	5.46	-52	-2	-4
10	5.22	-50	-2	0
10	4.87	-48	4	-8
10	3.87	-38	-2	10
10	3.84	-44	4	2
9	4.72	-24	0	4
9	3.92	-26	-8	-12
9	3.79	-28	-6	0
9	3.31	-22	4	-8
8	4.53	0	-44	52
8	4.09	0	-56	50
8	4.03	-10	-52	52
8	3.45	4	-66	48
8	3.12	-6	-56	58
7	4.24	10	-14	4
7	3.46	10	-22	8
7	3.27	10	-28	2
6	3.97	-10	-18	-4
6	3.84	-20	-28	2
6	3.59	-14	-26	6
6	3.58	-8	-12	0
5	5.6	64	-18	22
4	4.13	-4	-18	32
4	3.98	-4	-16	42
4	3.51	-8	-22	48
3	4.16	-36	-58	-30
3	4.03	-34	-54	-42
3	3.61	-32	-56	-46
2	4.02	30	-10	-2
2	3.69	34	-4	-8
2	3.36	20	-6	-4
1	4.78	-34	12	4
1	4.11	-30	20	0
1	4.05	-32	20	-4
1	3.33	-40	16	-4
