Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	39818	0	190	10.1	38	-86	-6	4.07	-44.5	6.69	1.29e+03	24	-92	-18	285
7	660	1.41e-11	10.9	4.99	-48	-34	8	-48.7	-27.6	8.72	444	-50	-30	6	242
6	468	5.06e-09	8.3	6.3	26	56	0	29.9	57.5	1.48	510	28	64	-4	263
5	227	3.17e-05	4.5	6.08	-40	6	30	-38.4	4.92	29.1	409	-40	6	30	215
4	212	5.94e-05	4.23	4.83	-34	56	16	-29.5	51.4	15	331	-34	56	16	204
3	104	0.00964	2.02	5.28	-22	-14	64	-19.9	-11.3	64.8	254	-22	-14	64	174
2	88	0.0232	1.64	4.87	2	18	68	5	21.1	66.5	630	6	24	66	469
1	76	0.046	1.34	4.05	30	30	28	26.2	32.6	24.9	245	30	30	28	178
