Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	2180	8.91e-27	26.1	7.71	52	-70	-2	40.5	-72.5	-12.4	569	52	-70	-2	240
18	2011	2.51e-25	24.6	6.6	34	-58	66	34.5	-57.6	42	846	30	-58	68	262
17	1749	5.37e-23	22.3	7.4	-50	-76	-12	-39.6	-82.1	-10.2	553	-36	-88	-22	245
16	1671	2.79e-22	21.6	5.66	-50	-40	50	-32.4	-54.2	52.1	618	-24	-64	64	272
15	659	1.45e-11	10.8	6.68	48	12	30	47.4	11.9	28.2	521	48	12	28	274
14	629	3.48e-11	10.5	5.09	6	4	56	2.19	3.08	49.6	430	0	-10	50	260
13	600	8.24e-11	10.1	5.12	-40	-16	68	-36.1	-17.5	62.3	637	-16	-22	78	275
12	512	1.23e-09	8.91	6.27	-20	-66	30	-25.2	-76.9	24.3	475	-20	-66	30	232
11	202	9.11e-05	4.04	4.36	34	-14	72	34.4	-6.89	55.2	422	34	-12	70	234
10	197	0.000113	3.95	4.07	56	10	2	43.5	15.6	-0.0798	332	58	14	0	217
9	134	0.00207	2.68	5.65	-62	-22	28	-59.1	-22.5	27.6	485	-62	-22	28	266
8	131	0.0024	2.62	5.23	12	-8	80	4.73	-23.8	79.2	528	12	-8	80	326
7	123	0.00359	2.45	5.26	4	-38	26	0.292	-39.2	24.5	368	2	-38	26	224
6	119	0.0044	2.36	5.01	-52	8	38	-51	5.09	36.3	433	-52	8	38	244
5	103	0.0102	1.99	4.64	22	-72	-52	26.2	-69.6	-50.8	226	22	-72	-52	161
4	100	0.012	1.92	4.64	38	-82	18	39.9	-81.4	20.2	336	42	-80	28	214
3	93	0.0175	1.76	5.02	-18	4	24	-19.7	7.73	22.1	312	-16	2	24	184
2	86	0.0259	1.59	4.33	26	54	-12	23.8	56.1	-10.3	276	22	60	-14	210
1	76	0.046	1.34	5.19	48	-26	-6	48.9	-25.9	-6.64	333	48	-22	-8	226
