Cluster Index	Z	x	y	z	
7	9.67	38	-88	16
7	9.15	42	-82	-12
7	8.67	32	-94	4
7	8.59	28	-92	8
7	8.14	10	-92	-6
7	7.52	40	-18	44
6	8.74	-30	-94	2
6	7.95	-26	-58	62
6	7.9	-58	-22	44
6	7.83	-42	-36	60
6	7.82	-32	-90	20
6	7.54	-38	-92	6
5	8.13	2	0	52
5	7.64	8	-8	56
5	7.24	-8	-4	44
5	6.59	-2	-6	50
5	6.22	6	0	72
5	6.18	-4	-2	58
4	6.49	-26	-62	-6
4	5.38	-30	-74	-8
4	5.38	-28	-64	-18
3	5.76	26	-4	50
2	5.18	-42	2	2
2	5.14	-46	10	-2
2	3.58	-38	16	0
1	5.09	-64	-8	8
1	4.16	-64	-4	6
1	3.88	-58	-20	8
1	3.8	-52	-16	10
