Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1903	2.22e-24	23.7	7.49	32	-84	30	25.7	-79.1	15.3	660	38	-46	38	257
15	682	7.45e-12	11.1	5.89	2	12	48	-0.000931	1.19	55.2	657	2	14	48	330
14	502	1.69e-09	8.77	6.4	-28	-78	22	-27.8	-83.5	23.9	500	-30	-84	30	270
13	484	3.01e-09	8.52	6.16	-42	-36	36	-46.8	-36.5	39.1	465	-42	-38	38	263
12	418	2.65e-08	7.58	6.8	-46	-70	-4	-44	-69.7	-6.94	436	-44	-68	0	239
11	413	5.96e-08	7.22	7.48	56	14	28	53.8	14.1	26.8	696	58	14	28	317
10	396	5.96e-08	7.22	5.82	34	24	2	41.7	21.5	0.49	531	36	28	0	285
9	342	3.58e-07	6.45	7.83	-20	-98	8	-30.1	-94.5	1.72	458	-36	-92	-6	245
8	288	2.8e-06	5.55	6.13	-28	-74	40	-31.9	-69.6	47.2	532	-28	-76	40	299
7	210	6.47e-05	4.19	8.13	-60	0	40	-56.8	-0.209	38.3	852	-60	0	40	337
6	200	9.93e-05	4	5.12	-38	16	6	-36.6	19.6	-0.0606	388	-38	16	6	234
5	158	0.000654	3.18	4.9	22	-50	-30	26	-48.4	-29.9	257	38	-44	-34	186
4	146	0.00115	2.94	5.32	-42	-26	66	-40.1	-25.4	63.5	688	-42	-26	66	316
3	136	0.00187	2.73	5.02	-30	-10	56	-28.3	-8.65	52.1	380	-30	-10	56	244
2	130	0.00252	2.6	4.42	-16	-18	10	-13.3	-20.2	7.06	269	-14	-18	6	215
1	79	0.0387	1.41	4.37	40	-70	-18	41.3	-69	-18.3	309	40	-70	-22	211
