Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	3051	9.94e-34	33	6.44	36	-90	14	39.5	-69.9	-5.82	473	30	-60	-20	231
20	2453	4.84e-29	28.3	7.36	-40	-72	-8	-37.4	-76	-2.19	430	-36	-90	0	235
19	1816	1.33e-23	22.9	7.95	-4	2	58	-0.119	11.5	43	694	-2	2	58	272
18	1640	5.41e-22	21.3	7.4	52	10	24	48.2	8.47	18.5	586	52	10	24	239
17	1117	8.03e-17	16.1	5.78	34	-58	56	35.2	-49.8	47.8	481	44	-40	60	232
16	1092	1.48e-16	15.8	5.84	-24	-50	52	-31	-51.5	51.1	612	-30	-58	60	254
15	689	6.09e-12	11.2	6.24	-58	-24	36	-50.6	-25.3	39.7	522	-42	-22	64	236
14	651	1.83e-11	10.7	5.87	-44	4	28	-45.9	19.3	24.5	421	-44	4	28	233
13	486	2.82e-09	8.55	5.41	-38	0	52	-32.1	-3.23	56.2	398	-38	0	54	225
12	378	1.19e-07	6.92	4.95	36	52	26	37	46.5	22	405	36	44	34	224
11	254	1.06e-05	4.98	5.48	26	2	50	27.3	-0.567	49.4	322	26	0	50	209
10	182	0.000219	3.66	5.46	-52	-2	-4	-49.4	0.975	-2.94	348	-52	-2	-4	232
9	170	0.000376	3.43	4.72	-24	0	4	-26	-2.94	-1.79	264	-24	0	4	206
8	167	0.000431	3.37	4.53	0	-44	52	-0.996	-50.3	51.8	307	0	-44	52	229
7	146	0.00115	2.94	4.24	10	-14	4	10.3	-16.5	5.01	351	10	-16	6	229
6	124	0.00341	2.47	3.97	-10	-18	-4	-13	-21.8	0.29	244	-6	-18	-8	194
5	117	0.00487	2.31	5.6	64	-18	22	62.7	-19.9	20.2	366	64	-18	22	254
4	112	0.00632	2.2	4.13	-4	-18	32	-5.39	-17.3	40.2	314	0	-14	40	206
3	111	0.00666	2.18	4.16	-36	-58	-30	-34.8	-56	-35.3	249	-36	-58	-30	189
2	106	0.00867	2.06	4.02	30	-10	-2	29.8	-8.58	-2.77	245	30	-12	0	203
1	88	0.0232	1.64	4.78	-34	12	4	-33.4	15.5	1.1	292	-34	12	4	207
