Cluster Index	Z	x	y	z	
23	8.71	-38	-16	68
23	8.45	-52	-34	58
23	8.02	-60	-24	30
23	7.09	-62	-28	46
23	7.03	-20	-54	62
23	7.03	-40	-42	62
22	10.8	36	-90	-4
22	7.24	34	-74	26
22	7.02	52	-64	-20
22	7.02	46	-70	-18
22	6.55	34	-82	22
22	6.28	26	-98	-10
21	10.6	-36	-88	-6
21	10.5	-36	-90	-10
21	8.9	-34	-92	-16
21	7.26	-46	-76	-20
21	7.23	-42	-74	-14
21	7.05	-40	-62	-16
20	7.62	58	-44	20
20	6.79	36	-50	42
20	6.47	56	-38	54
20	5.99	54	-46	28
20	5.87	52	-40	34
20	5.74	48	-40	16
19	7.04	4	10	44
19	6.68	4	4	50
19	5.71	-6	2	42
19	5.42	-8	10	48
19	5.3	-6	-12	50
19	5.25	0	-4	44
18	6.91	8	-16	6
18	6.75	12	-12	6
18	5.23	28	-2	-6
18	5.19	34	32	-2
18	5.13	28	-18	-4
18	5.09	26	-6	-4
17	6.62	58	6	0
17	6	58	8	22
17	5.73	48	4	18
17	5.18	46	8	26
17	4.64	42	12	32
17	4.51	52	14	38
16	7.37	30	-6	52
16	5.31	18	10	68
16	5.14	22	6	70
16	4.57	28	6	58
16	4.56	34	2	64
16	3.56	24	6	48
15	4.98	-14	-78	-26
15	4.93	-20	-66	-38
15	4.46	-16	-74	-46
15	4.45	-4	-74	-26
15	4.36	-8	-80	-34
15	4.09	-8	-76	-20
14	6.69	30	28	26
14	6.16	28	34	24
14	5.07	24	52	28
14	4.99	30	44	22
14	4.79	30	46	36
14	4.77	26	48	26
13	5.56	0	-76	14
13	4.96	0	-82	6
13	3.99	12	-66	6
12	6.7	-8	-18	6
12	4.27	-10	-8	6
12	3.41	-14	-22	-10
12	3.14	-18	-32	0
11	6.26	-44	-2	34
11	5.46	-60	0	34
10	5.36	-42	8	-2
10	5.25	-44	-8	4
10	4.88	-40	-6	8
10	4.66	-50	12	-8
10	4.04	-50	-2	4
9	6.43	2	-32	24
9	5.93	-4	-34	24
9	4.68	6	-22	26
8	4.59	-24	0	0
8	4.48	-24	2	-4
8	4.36	-26	-8	2
8	4.32	-24	-6	-12
8	4.3	-30	-10	-4
8	3.77	-24	8	-6
7	5.9	36	-48	-26
7	5.62	30	-48	-24
7	5.42	26	-50	-34
6	5.11	16	-74	-24
6	3.88	20	-72	-18
6	3.71	22	-68	-16
6	3.66	12	-70	-18
6	3.55	12	-66	-16
6	3.31	4	-66	-18
5	6.47	-30	28	2
5	6.44	-30	24	4
5	4.53	-30	20	-4
5	4.28	-34	30	-4
4	4.83	-32	36	38
4	4.53	-34	34	34
4	4.33	-38	30	40
3	4.42	12	-34	-46
3	4.14	16	-38	-48
3	3.99	18	-44	-52
3	3.69	22	-50	-56
3	3.21	24	-40	-58
2	4.61	-6	-8	74
2	4.55	-10	-10	80
2	4.29	-18	-8	76
1	4.25	-10	-50	-44
1	3.61	-14	-42	-52
1	3.61	-10	-48	-52
1	3.27	-12	-50	-58
